Radiant_Score,Dire_Score,Win,Radiant_Gold_Per_Minute_Per_Game,Radiant_XP_Per_Minute_Per_Game,Radiant_Lane_Efficient_Points_Per_Game,Radiant_Stuns_Per_Game,Radiant_Tower_Kills_Per_Game,Radiant_Actions_Per_Minute,Dire_Gold_Per_Minute_Per_Game,Dire_XP_Per_Minute_Per_Game,Dire_Lane_Efficient_Points_Per_Game,Dire_Stuns_Per_Game,Dire_Tower_Kills_Per_Game,Dire_Actions_Per_Minute
0,0,1,2527.31,2485.98,313.72,155.05,7.640000000000001,1073.25,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
13,21,1,2042.54,2068.8,268.64,103.31,4.55,593.2,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
0,0,1,2374.5,2327.27,294.1,134.06,5.25,1124.79,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
8,20,1,2373.32,2339.22,303.0,123.28,6.67,1056.71,2718.7799999999997,2548.84,369.48,116.41,7.39,997.61
0,0,1,2389.5699999999997,2316.34,298.96999999999997,155.61,5.53,854.71,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
0,0,1,2460.56,2438.7200000000003,267.85,112.43,4.61,728.76,2649.5799999999995,2636.65,363.09,101.92,8.82,996.66
0,0,0,1695.69,1757.1399999999999,232.23000000000002,81.36999999999999,3.6600000000000006,805.5300000000001,2649.5799999999995,2636.65,363.09,101.92,8.82,996.66
27,40,1,2060.37,2282.26,268.67,117.74,5.43,893.0,2315.73,2428.1,314.85,138.4,7.14,1116.61
30,7,0,1976.44,2185.38,279.12,106.86,4.55,871.62,2142.79,2333.5099999999998,318.9,122.16000000000001,4.03,1087.48
22,16,0,1816.82,1920.6100000000001,248.63000000000002,110.65999999999998,3.62,835.47,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
7,28,1,2349.26,2279.37,293.96000000000004,131.20999999999998,6.370000000000001,793.3199999999999,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
0,0,1,2465.66,2432.0,315.32000000000005,191.74,6.92,716.36,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
0,0,1,2738.41,2694.13,363.31,165.18,9.5,854.6700000000001,2649.5799999999995,2636.65,363.09,101.92,8.82,996.66
0,0,1,2680.4199999999996,2633.82,366.46000000000004,105.25,9.44,896.13,2649.5799999999995,2636.65,363.09,101.92,8.82,996.66
29,9,0,2540.64,2442.23,328.91999999999996,77.64000000000001,6.93,1365.5600000000002,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
7,20,1,2661.2299999999996,2520.55,345.3,102.88,7.84,1539.17,2718.7799999999997,2548.84,369.48,116.41,7.39,997.61
18,24,1,2540.6400000000003,2442.23,328.92,77.64,6.93,1365.5600000000002,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
27,10,0,2253.61,2565.13,309.21000000000004,107.94,5.99,1044.34,1960.4499999999998,2242.5099999999998,266.54,98.89999999999999,4.84,845.72
11,39,1,2505.07,2707.46,344.98,158.29,6.31,1103.13,2413.2400000000002,2614.42,336.61,160.03,6.17,1084.0600000000002
28,44,1,2466.75,2608.41,343.76,146.09,7.95,1044.5300000000002,2391.05,2572.37,341.32,149.68,7.3,1020.06
0,0,1,2388.39,2233.34,318.3,113.67999999999999,6.180000000000001,765.5999999999999,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
31,11,0,1985.67,2252.07,262.40999999999997,113.60000000000001,4.9799999999999995,801.1499999999999,2157.41,2436.91,294.77,140.47,5.93,1002.7799999999999
0,0,0,2680.42,2633.8199999999997,366.46,105.25,9.440000000000001,896.13,2649.5799999999995,2636.6499999999996,363.09,101.92,8.82,996.66
0,0,1,2680.42,2633.8199999999997,366.46,105.25,9.440000000000001,896.13,2649.5799999999995,2636.6499999999996,363.09,101.92,8.82,996.66
22,11,0,2391.05,2572.37,341.32,149.68,7.3,1020.0600000000002,2466.75,2608.41,343.76,146.09,7.949999999999999,1044.53
0,0,1,2474.27,2492.09,324.3,111.2,7.15,963.0900000000001,2649.5799999999995,2636.6499999999996,363.09,101.92,8.82,996.66
0,0,0,2378.1000000000004,2390.81,293.36,112.81,6.1,1023.64,2649.5799999999995,2636.6499999999996,363.09,101.92,8.82,996.66
0,0,0,2416.7799999999997,2345.93,296.7,143.07,6.24,1494.78,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
14,27,1,2486.7200000000003,2452.96,316.11,152.58,7.49,713.8000000000001,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
0,0,0,2378.1000000000004,2390.81,293.36,112.81,6.1000000000000005,1023.64,2649.5799999999995,2636.6499999999996,363.09,101.92,8.82,996.66
0,0,1,2477.21,2406.6800000000003,312.69,142.70000000000002,6.750000000000001,1783.02,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
39,34,0,1985.6699999999998,2252.0699999999997,262.40999999999997,113.60000000000001,4.9799999999999995,801.15,2157.41,2436.91,294.77,140.47,5.93,1002.7799999999999
5,26,1,1903.53,1931.9199999999998,239.62,127.56000000000002,3.4099999999999997,609.94,2718.7799999999997,2548.84,369.48,116.41,7.39,997.61
0,0,0,2256.4999999999995,2183.44,309.53,115.35999999999999,6.050000000000001,798.8299999999999,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
0,0,1,1695.69,1757.1399999999999,232.23000000000002,81.36999999999999,3.66,805.5300000000001,2649.5799999999995,2636.6499999999996,363.09,101.92,8.82,996.66
0,0,0,2256.5,2183.44,309.53,115.35999999999999,6.050000000000001,798.8299999999999,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
47,37,0,1684.1999999999998,1682.1699999999998,226.45000000000002,125.17,2.59,983.4699999999999,2718.7799999999997,2548.84,369.48,116.41,7.39,997.61
24,15,0,1824.79,1897.4600000000003,244.31,121.36,3.53,974.38,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
14,21,1,1976.44,2185.38,279.12,106.86,4.55,871.62,2142.79,2333.5099999999998,318.9,122.16000000000001,4.03,1087.48
0,0,1,2281.01,2259.3500000000004,284.32,119.86,5.61,915.7299999999999,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
0,0,1,2680.4199999999996,2633.82,366.46000000000004,105.25,9.44,896.1300000000001,2649.5799999999995,2636.6499999999996,363.09,101.92,8.82,996.66
5,26,1,2268.46,2271.25,295.83,127.37,5.08,707.2600000000001,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
0,0,1,2222.2,2227.7400000000002,286.84999999999997,124.03,4.79,709.73,2649.5799999999995,2636.6499999999996,363.09,101.92,8.82,996.66
0,0,1,2187.3100000000004,2174.67,302.15,196.01,5.0600000000000005,669.01,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
0,0,1,2588.1800000000003,2511.31,250.22000000000003,119.14000000000001,5.459999999999999,1336.68,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
28,17,0,2571.79,2555.34,306.24,134.62,7.289999999999999,1088.69,2718.7799999999997,2548.84,369.48,116.41,7.39,997.61
0,0,1,2372.5299999999997,2212.7200000000003,311.86,112.72999999999999,6.18,797.01,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
24,9,0,2326.1,2313.39,300.25,113.08999999999999,5.5600000000000005,872.96,2718.7799999999997,2548.84,369.48,116.41,7.39,997.61
0,0,1,2372.5299999999997,2212.7200000000003,311.86,112.73000000000002,6.18,797.01,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
0,0,1,2463.46,2457.95,307.75,146.01,6.45,869.26,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
10,31,1,1960.4500000000003,2242.51,266.54,98.89999999999999,4.84,845.72,2253.61,2565.1299999999997,309.21000000000004,107.93999999999998,5.99,1044.3400000000001
21,34,1,2349.26,2279.37,293.96000000000004,131.21,6.369999999999999,793.32,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
17,28,1,2349.26,2279.37,293.96000000000004,131.21,6.369999999999999,793.32,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
25,37,1,1816.82,1920.6100000000001,248.63,110.66,3.6199999999999997,835.47,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
14,36,1,1816.82,1920.6100000000001,248.63,110.66,3.6199999999999997,835.47,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
0,0,1,1727.7299999999998,1764.3200000000002,229.95,144.49,3.7,737.0200000000001,2649.5799999999995,2636.6499999999996,363.09,101.92,8.82,996.66
0,0,1,2347.93,2370.05,309.61,141.06,6.85,794.8699999999999,2649.5799999999995,2636.6499999999996,363.09,101.92,8.82,996.66
0,0,1,2306.02,2259.8,288.83,140.89999999999998,5.95,758.9100000000001,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
0,0,1,2734.92,2659.02,341.15999999999997,138.24,8.65,1284.8,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
0,0,1,2457.59,2393.39,284.46000000000004,125.59,5.659999999999999,1443.4,2649.5799999999995,2636.6499999999996,363.09,101.92,8.82,996.66
0,0,1,2463.84,2401.43,295.4,129.91,5.9399999999999995,1330.5500000000002,2649.5799999999995,2636.6499999999996,363.09,101.92,8.82,996.66
0,0,1,2606.0899999999997,2505.0999999999995,306.65,152.26,5.260000000000001,862.08,2649.5799999999995,2636.6499999999996,363.09,101.92,8.82,996.66
11,24,1,2738.3900000000003,2639.76,350.96,134.88000000000002,6.09,693.56,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
0,0,1,1780.88,1750.7199999999998,244.84,96.19,3.4,832.36,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
0,0,1,1780.88,1750.7199999999998,244.84,96.19,3.4,832.36,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
16,23,1,1816.82,1920.6100000000001,248.63,110.66,3.6199999999999997,835.47,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
0,0,0,2275.42,2265.4300000000003,291.22,117.51,5.749999999999999,807.0600000000001,2649.5799999999995,2636.6499999999996,363.09,101.92,8.82,996.66
0,0,0,2235.13,2169.45,295.52,128.04,5.870000000000001,866.47,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
15,37,1,2349.26,2279.37,293.96000000000004,131.20999999999998,6.37,793.32,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
54,16,0,2413.2400000000002,2614.42,336.61,160.02999999999997,6.17,1084.06,2505.07,2707.46,344.98,158.29,6.31,1103.13
0,0,0,1727.7299999999998,1764.3200000000002,229.95,144.49,3.7,737.02,2649.5799999999995,2636.6499999999996,363.09,101.92,8.82,996.66
25,25,0,1824.79,1897.4600000000003,244.31,121.36,3.5300000000000002,974.38,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
10,38,1,1824.79,1897.4600000000003,244.31000000000003,121.35999999999999,3.5300000000000002,974.38,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
22,41,1,2552.16,2510.1200000000003,308.86,102.53,6.419999999999999,731.3399999999999,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
0,0,0,2405.02,2399.1000000000004,333.79999999999995,163.07,6.48,763.2099999999999,2649.5799999999995,2636.6499999999996,363.09,101.92,8.82,996.66
0,0,0,2857.5299999999997,2798.8,339.94,163.86,5.470000000000001,776.69,2649.5799999999995,2636.6499999999996,363.09,101.92,8.82,996.66
0,0,0,2571.65,2528.59,281.3,112.64999999999999,5.77,749.33,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
32,18,0,2511.84,2448.5099999999998,287.59999999999997,111.05000000000001,5.6899999999999995,970.97,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
16,36,1,2041.76,2555.8899999999994,262.94,164.54,3.26,1436.3,1846.7199999999998,2355.62,227.37,147.77,2.6999999999999997,1107.24
28,11,0,2275.15,2508.9900000000002,293.8,145.91,5.6,1303.09,2149.49,2317.0099999999998,279.06,137.52,5.58,1294.54
8,25,1,2804.28,2933.64,369.54,126.23000000000002,9.89,1079.13,2541.94,2750.1,356.67,147.57,7.390000000000001,1199.44
39,15,0,1577.63,1941.5500000000002,212.66000000000003,155.14,1.9400000000000002,1103.9,2541.94,2750.1,356.67,147.57,7.390000000000001,1199.44
18,26,1,2804.28,2933.64,369.54,126.23000000000002,9.89,1079.13,2541.94,2750.1,356.67,147.57,7.390000000000001,1199.44
8,27,1,2265.46,2491.01,276.02,140.52,5.34,1078.8600000000001,2497.55,2656.91,348.56,140.74,8.44,1149.56
9,26,1,1706.4500000000003,1945.36,222.81,138.02,2.87,1104.7,2585.71,2704.84,371.29,125.19999999999999,7.67,1195.42
23,8,0,2418.3,2660.7,322.62,127.73000000000002,6.3100000000000005,1804.62,2585.71,2704.84,371.29,125.19999999999999,7.67,1195.42
32,19,0,2250.7799999999997,2469.84,286.28,117.96,6.25,1345.1899999999998,2585.71,2704.84,371.29,125.19999999999999,7.67,1195.42
36,17,0,2186.23,2393.7,315.11,135.76999999999998,4.98,915.24,2541.94,2750.1,356.67,147.57,7.390000000000001,1199.44
27,14,0,2465.09,2673.04,329.83,135.26,8.13,1390.6299999999999,2585.71,2704.84,371.29,125.19999999999999,7.67,1195.42
11,16,1,2621.67,2801.08,345.02,139.83,8.23,1434.7,2541.94,2750.1,356.67,147.57,7.390000000000001,1199.44
14,3,0,2325.66,2807.0499999999997,299.86,203.92000000000002,5.97,1484.9099999999999,2637.4100000000003,2911.45,362.42,189.87,8.95,1219.9
13,30,1,2322.07,2456.43,335.87,116.63000000000001,6.78,1092.89,2585.71,2704.84,371.29,125.19999999999999,7.67,1195.42
30,48,1,2247.9,2803.5600000000004,301.02,186.71,4.9,1117.56,2637.4100000000003,2911.45,362.42,189.87,8.95,1219.9
10,31,1,2247.8999999999996,2803.5600000000004,301.02,186.71,4.9,1117.56,2637.4100000000003,2911.45,362.42,189.87,8.95,1219.9
36,16,0,2621.6699999999996,2801.0800000000004,345.02,139.82999999999998,8.23,1434.6999999999998,2541.94,2750.1,356.67,147.57,7.390000000000001,1199.44
19,9,0,2041.76,2555.8899999999994,262.94,164.54,3.26,1436.3,2056.82,2413.63,260.44,124.09,4.33,1345.14
12,30,1,2225.94,2415.64,302.88,122.61,5.33,1381.46,2701.83,2752.9800000000005,367.13000000000005,103.89999999999999,8.05,1351.98
24,25,1,2000.9299999999998,2544.21,272.0,150.31,3.5700000000000003,1390.02,1776.1399999999999,2164.04,225.27,121.85000000000001,2.54,1097.07
23,9,0,3045.11,3065.67,376.91999999999996,64.86,11.170000000000002,1456.63,2274.48,2562.67,296.69,177.61999999999998,7.880000000000001,1693.4500000000003
2,34,1,2391.44,2639.52,312.26,163.57,16.27,1657.0500000000002,2274.48,2562.67,296.69,177.61999999999998,7.880000000000001,1693.4500000000003
23,16,0,2180.5299999999997,2407.44,288.84000000000003,169.42,5.199999999999999,1437.0500000000002,2274.48,2562.67,296.69,177.61999999999998,7.880000000000001,1693.4500000000003
27,29,1,2000.9299999999998,2544.21,272.0,150.31,3.5700000000000003,1390.02,1776.1399999999999,2164.04,225.27,121.85000000000001,2.54,1097.07
34,6,0,2000.9299999999998,2544.21,272.0,150.31,3.57,1390.02,1776.1399999999999,2164.04,225.27,121.85000000000001,2.54,1097.07
30,6,0,2041.7599999999998,2555.8899999999994,262.94,164.54000000000002,3.26,1436.3,1846.7199999999998,2355.62,227.37,147.77,2.6999999999999997,1107.24
4,17,1,2000.93,2544.21,272.0,150.31,3.5700000000000003,1390.02,1776.1399999999999,2164.04,225.27,121.85000000000001,2.54,1097.07
33,10,0,2000.93,2544.21,272.0,150.31,3.5700000000000003,1390.02,1776.1399999999999,2164.04,225.27,121.85000000000001,2.54,1097.07
4,23,1,2000.93,2544.21,272.0,150.31,3.5700000000000003,1390.02,1776.1399999999999,2164.04,225.27,121.85000000000001,2.54,1097.07
55,49,0,2497.55,2656.91,348.56,140.74,8.44,1149.56,2595.9799999999996,2725.4399999999996,359.16,129.74,8.92,1280.76
7,29,1,2349.96,2842.0899999999997,302.11,165.26999999999998,6.309999999999999,1154.91,2041.7599999999998,2555.8899999999994,262.94,164.54000000000002,3.26,1436.3
18,33,1,1580.3999999999999,2081.09,201.46,96.59,1.94,1069.35,2000.9299999999998,2544.21,272.0,150.31,3.5700000000000003,1390.02
23,10,0,2750.65,3144.86,344.0,170.25,8.46,1250.98,2041.7599999999998,2555.8899999999994,262.94,164.54000000000002,3.26,1436.3
24,40,1,2715.7599999999998,2697.64,316.09,189.54999999999998,7.5,1127.05,2988.39,2715.4199999999996,360.29999999999995,140.33,10.219999999999999,1301.69
31,24,0,2084.0,2603.15,263.86,151.78,4.24,1575.76,2000.9299999999998,2544.21,272.0,150.31,3.5700000000000003,1390.02
15,38,1,2265.46,2491.01,276.02,140.52,5.34,1078.8600000000001,2497.55,2656.91,348.56,140.74,8.44,1149.56
36,31,1,2262.0,2514.67,298.13,161.33000000000004,6.54,1173.7199999999998,2541.94,2750.1,356.67,147.57,7.39,1199.44
32,18,0,1710.5300000000002,2291.17,216.86,176.62,1.55,1444.48,2637.4100000000003,2911.45,362.42,189.87,8.95,1219.9
