Match_ID,Team_ID,Radiant_Account_ID_0,Radiant_Account_ID_1,Radiant_Account_ID_2,Radiant_Account_ID_3,Radiant_Account_ID_4
3815664057,726228.0,134276083,137193239,89423756,134276083,89423756
3250134558,726228.0,88508515,139937922,107803494,88508515,107803494
3898771485,15.0,94296097,94738847,94738847,94296097,125581247
3898369901,15.0,94738847,94296097,94296097,94738847,125581247
3891255300,15.0,125581247,94296097,94738847,94738847,94296097
3805446809,15.0,125581247,94296097,94296097,94738847,94738847
3605489927,15.0,177416702,107081378,101695162,177416702,107081378
3358069339,15.0,134276083,177416702,177416702,107081378,134276083
2548889995,15.0,130416036,98887913,130416036,98887913,106863163
3139957604,2512249.0,30237211,145550466,85805514,315657960,154715080
3139882151,2512249.0,315657960,154715080,145550466,85805514,30237211
2564408925,2512249.0,103735745,85805514,86725175,86700461,84429681
2564310434,2512249.0,86700461,85805514,84429681,103735745,86725175
4657426711,3.0,12231202,99983413,111034589,91369376,50828662
2547200329,1836806.0,101586543,129585121,111114687,102644565,118134220
2547137044,1836806.0,111114687,118134220,129585121,101586543,102644565
3888711624,1375614.0,87012746,139876032,87012746,139876032,87012746
3810920238,1375614.0,87012746,87012746,87012746,139876032,139876032
3807137726,1375614.0,87012746,87012746,139876032,139876032,87012746
3696703002,1375614.0,87012746,139876032,87012746,139876032,87012746
3250269020,1375614.0,139876032,87012746,139876032,87012746,87012746
3194968232,1375614.0,87012746,139876032,87012746,139876032,87012746
1858615497,2201839.0,102525542,145550466,101450083,3940262,88933594
5209549802,2163.0,54580962,86738694,86738694,86738694,86738694
5209450206,2163.0,86738694,54580962,86738694,86738694,86738694
4979109318,2163.0,34505203,34505203,82262664,34505203,34505203
4973040677,2163.0,34505203,82262664,34505203,34505203,34505203
3932161077,2163.0,34505203,34505203,34505203,82262664,34505203
3818397105,2163.0,82262664,34505203,34505203,34505203,34505203
3811024255,2163.0,34505203,34505203,34505203,82262664,34505203
3808730315,2163.0,34505203,34505203,34505203,34505203,82262664
3356102779,2163.0,34505203,34505203,34505203,34505203,82262664
3195817999,2163.0,82262664,34505203,34505203,34505203,34505203
3195686768,2163.0,34505203,34505203,34505203,82262664,34505203
3195573037,2163.0,34505203,34505203,82262664,34505203,34505203
3195383160,2163.0,34505203,82262664,34505203,34505203,34505203
3195266432,2163.0,82262664,34505203,34505203,34505203,34505203
3021563452,2163.0,34505203,34505203,34505203,82262664,34505203
2772513214,1148284.0,102525542,145550466,93119769,110539311,101450083
2388688060,1148284.0,93119769,112377459,88933594,101450083,145550466
2253384829,1148284.0,93119769,145550466,101450083,112377459,88933594
2243682720,1148284.0,145550466,101450083,93119769,88933594,112377459
2243323361,1148284.0,93119769,101450083,88933594,145550466,112377459
1913321938,1148284.0,105599955,3940262,101450083,102525542,112377459
1913246007,1148284.0,102525542,3940262,105599955,112377459,101450083
2972367043,1105664.0,113874152,108383863,250733860,121404228,119939006
2972204245,1105664.0,103126502,113874152,250733860,119939006,121404228
2738990808,1105664.0,103126502,121404228,119939006,169141480,250733860
4661463096,36.0,90125566,117483894,117483894,90125566,234699894
4661263272,36.0,117483894,117483894,90125566,90125566,234699894
3769072510,36.0,89550641,35504297,106809101,89550641,35504297
3607111763,36.0,117421467,117421467,87196890,89550641,87196890
2547331853,36.0,85805514,169181898,117421467,85805514,117421467
2547286015,36.0,85805514,117421467,169181898,85805514,117421467
2916670126,2533075.0,115141430,97590558,43619695,25907144,23883296
2916584067,2533075.0,83867257,43619695,97590558,66228684,23883296
2916500234,2533075.0,43619695,88271237,97590558,88271237,23883296
3005831207,24.0,112552914,85485252,100829013,100471531,119540075
3005719581,24.0,112552914,101208242,85485252,58429537,58429537
2739588641,24.0,100471531,99573176,101208242,101460882,58429537
2258078880,24.0,101460882,85485252,100471531,81481903,101208242
1849339605,24.0,101240880,101460882,100471531,101208242,81481903
1849055061,24.0,100829013,101208242,101460882,100471531,119540075
3354219214,46.0,5150808,92847434,113331514,159020918,86725175
5083672078,111474.0,12231202,86799300,86799300,12231202,18180970
4969357844,111474.0,54580962,86738694,54580962,86738694,152962063
4969288250,111474.0,152962063,54580962,86738694,54580962,86738694
4217313385,111474.0,54580962,54580962,86738694,152962063,86738694
3189029403,111474.0,12231202,12231202,40209325,40209325,18180970
2915244353,111474.0,40209325,12231202,12231202,40209325,18180970
2915053760,111474.0,12231202,40209325,12231202,18180970,40209325
2547014655,111474.0,3916428,101495620,101495620,41231571,3916428
2247643166,254140.0,89330493,66598119,86741690,89330493,76904792
2060145150,254140.0,82630959,86762037,91369376,86874930,86741690
1909293563,254140.0,76904792,91369376,87442297,86741690,91443418
1866284166,254140.0,91369376,86762037,86874930,86741690,89330493
1866117133,254140.0,91369376,86741690,86874930,82630959,86762037
4967962327,543897.0,91443418,91443418,87012746,113457795,87012746
4599348637,543897.0,87012746,91443418,87012746,91443418,113457795
4590410103,543897.0,91443418,91443418,87012746,113457795,87012746
4379888465,543897.0,91443418,87012746,87012746,113457795,91443418
4379737215,543897.0,91443418,113457795,87012746,91443418,87012746
4242448173,543897.0,91443418,113457795,87012746,87012746,91443418
