Name,Rating,DPR,Kast,Impact,ADR,KPR,Start_Date,End_Date
TuGuX,0.93,0.66,68.2%,0.78,67.9,0.58,2016-06-14,2016-09-12
arieldidi,1.21,0.63,69.8%,1.31,86.6,0.83,2016-06-14,2016-09-12
DEVIL,1.00,0.65,70.1%,0.92,69.2,0.62,2016-06-14,2016-09-12
destru,0.94,0.73,62.7%,0.97,75.9,0.61,2016-09-12,2016-12-11
shinobi,0.86,0.79,61.6%,0.99,68.1,0.61,2016-06-14,2016-09-12
cJ,0.89,0.75,60.1%,1.07,64.8,0.62,2016-06-14,2016-09-12
a2z,0.87,0.75,61.6%,0.91,66.2,0.60,2016-06-14,2016-09-12
vice,0.99,0.69,69.1%,0.87,76.2,0.66,2016-06-14,2016-09-12
Marved,0.65,0.83,55.6%,0.59,58.3,0.47,2016-06-14,2016-09-12
Luz,1.06,0.70,72.2%,1.07,74.7,0.71,2016-09-12,2016-12-11
NEEX,1.05,0.67,67.2%,1.18,68.8,0.73,2016-09-12,2016-12-11
mitch,1.08,0.68,70.8%,1.13,75.7,0.67,2016-06-14,2016-09-12
Nifty,1.00,0.64,67.7%,0.96,66.8,0.66,2016-06-14,2016-09-12
Brehze,1.13,0.72,71.4%,1.17,83.6,0.77,2016-06-14,2016-09-12
kaboose,1.04,0.71,69.9%,1.02,76.7,0.69,2016-06-14,2016-09-12
flowsicK,0.90,0.79,61.2%,1.00,70.8,0.62,2016-06-14,2016-09-12
Xp3,0.90,0.74,60.7%,0.98,66.3,0.61,2016-06-14,2016-09-12
Spitfire,1.10,0.67,69.4%,1.05,79.5,0.74,2016-06-14,2016-09-12
anger,1.09,0.74,72.3%,1.08,82.8,0.77,2016-06-14,2016-09-12
SKYTTEN,1.03,0.63,69.4%,1.00,70.0,0.62,2016-06-14,2016-09-12
no_one,1.06,0.71,70.5%,1.06,76.8,0.73,2016-06-14,2016-09-12
WARDELL,1.41,0.42,87.3%,1.23,78.8,0.89,2016-09-12,2016-12-11
neptune,1.55,0.59,78.9%,1.76,106.1,0.90,2016-09-12,2016-12-11
