Name,Rating,DPR,Kast,Impact,ADR,KPR,Start_Date,End_Date
blade,0.86,0.79,62.2%,0.93,68.3,0.58,2016-06-14,2016-09-12
LILMAN,1.03,0.76,68.5%,1.04,77.8,0.71,2016-06-14,2016-09-12
Toy,1.02,0.71,69.2%,1.01,73.4,0.67,2016-06-14,2016-09-12
haptiiC,0.93,0.75,65.3%,0.97,70.1,0.61,2016-06-14,2016-09-12
mummAy,0.98,0.71,65.7%,1.01,70.2,0.68,2016-06-14,2016-09-12
nsww,0.97,0.70,67.7%,0.88,73.9,0.65,2016-06-14,2016-09-12
z1,1.09,0.67,67.3%,1.22,75.2,0.72,2016-06-14,2016-09-12
fenvicious,1.05,0.73,69.6%,1.06,79.5,0.69,2016-06-14,2016-09-12
vvalter,0.85,0.74,60.2%,0.87,66.7,0.59,2016-06-14,2016-09-12
RobbeN,0.91,0.79,69.9%,0.92,74.6,0.58,2016-06-14,2016-09-12
Jada,1.04,0.70,71.4%,1.05,73.8,0.66,2016-06-14,2016-09-12
Lyhn,0.96,0.75,67.8%,0.93,72.0,0.71,2016-06-14,2016-09-12
Kheops,1.09,0.74,71.8%,1.06,84.5,0.76,2016-06-14,2016-09-12
a1RO,0.95,0.72,67.2%,1.00,67.9,0.65,2016-06-14,2016-09-12
lamp,0.84,0.77,61.0%,0.77,70.6,0.61,2016-06-14,2016-09-12
Barkk,1.14,0.72,67.6%,1.26,86.7,0.76,2016-06-14,2016-09-12
DEV7L,1.18,0.68,73.4%,1.25,80.7,0.79,2016-06-14,2016-09-12
oKKo,1.04,0.67,69.2%,1.03,76.6,0.68,2016-06-14,2016-09-12
ZEDKO,1.13,0.63,72.5%,1.09,79.9,0.73,2016-06-14,2016-09-12
LOMME,1.00,0.72,69.2%,1.00,75.1,0.66,2016-06-14,2016-09-12
squidi,0.93,0.71,66.2%,0.94,67.7,0.59,2016-06-14,2016-09-12
EXR,0.85,0.73,64.4%,0.74,66.4,0.57,2016-06-14,2016-09-12
holzt,0.73,0.74,56.3%,0.68,59.6,0.49,2016-06-14,2016-09-12
st1cker,1.10,0.65,72.5%,1.09,74.6,0.72,2016-06-14,2016-09-12
HECTOz,0.95,0.71,62.7%,1.03,67.9,0.66,2016-06-14,2016-09-12
Morpheos,1.21,0.63,74.6%,1.17,84.7,0.79,2016-06-14,2016-09-12
marq,0.96,0.67,72.0%,0.81,72.4,0.62,2016-06-14,2016-09-12
Rub3nix,1.05,0.67,71.2%,1.05,77.4,0.67,2016-06-14,2016-09-12
breAker,1.09,0.67,71.3%,1.06,75.3,0.72,2016-06-14,2016-09-12
Imp,1.06,0.71,73.0%,1.10,71.5,0.68,2016-06-14,2016-09-12
Jinx,1.15,0.67,73.0%,1.23,78.0,0.76,2016-06-14,2016-09-12
Europha,1.07,0.69,73.7%,1.01,78.6,0.65,2016-06-14,2016-09-12
Muselet,1.18,0.67,77.4%,1.15,83.3,0.75,2016-06-14,2016-09-12
flashie,0.96,0.74,66.2%,0.98,74.5,0.65,2016-06-14,2016-09-12
ROK3T,1.18,0.61,75.4%,1.17,78.8,0.70,2016-06-14,2016-09-12
NEY,0.93,0.75,65.0%,0.90,75.6,0.60,2016-06-14,2016-09-12
rbfurious,1.01,0.72,71.2%,0.99,73.3,0.68,2016-06-14,2016-09-12
NyX,1.12,0.68,69.2%,1.07,87.0,0.74,2016-06-14,2016-09-12
st0Le,1.06,0.73,68.3%,1.13,76.7,0.72,2016-06-14,2016-09-12
Mariuchii,0.87,0.67,65.1%,0.77,63.6,0.59,2016-06-14,2016-09-12
revyy,1.10,0.70,66.5%,1.22,76.9,0.77,2016-06-14,2016-09-12
gabesson,0.82,0.77,63.1%,0.74,66.2,0.56,2016-06-14,2016-09-12
mat1,0.95,0.69,66.1%,0.91,68.6,0.64,2016-06-14,2016-09-12
allow,1.15,0.70,74.4%,1.18,81.9,0.78,2016-06-14,2016-09-12
k1tkat,1.09,0.72,70.4%,1.12,82.8,0.71,2016-06-14,2016-09-12
KarriBob,0.99,0.63,70.1%,0.86,67.2,0.62,2016-06-14,2016-09-12
b0RUP,1.08,0.73,67.3%,1.19,78.7,0.74,2016-06-14,2016-09-12
BERRY,0.84,0.77,62.6%,0.82,69.3,0.57,2016-06-14,2016-09-12
FNS,0.93,0.73,69.1%,0.84,71.0,0.61,2016-06-14,2016-09-12
SicK,1.14,0.72,73.2%,1.21,81.7,0.76,2016-06-14,2016-09-12
SEMPHIS,0.99,0.69,68.2%,0.97,70.4,0.65,2016-06-14,2016-09-12
YJ,1.08,0.68,71.4%,1.08,79.8,0.69,2016-06-14,2016-09-12
exit,1.19,0.65,67.6%,1.20,89.3,0.81,2016-06-14,2016-09-12
jnt,1.27,0.69,71.4%,1.48,90.6,0.84,2016-06-14,2016-09-12
raafa,1.06,0.64,70.8%,1.07,71.2,0.66,2016-06-14,2016-09-12
dmm,1.05,0.72,67.0%,1.16,75.8,0.74,2016-06-14,2016-09-12
DeStRoYeR,0.98,0.75,67.8%,0.99,76.3,0.67,2016-06-14,2016-09-12
Sa7,1.02,0.75,67.3%,1.09,79.4,0.70,2016-06-14,2016-09-12
baal,0.94,0.75,69.5%,0.92,72.6,0.63,2016-06-14,2016-09-12
luk,0.89,0.71,66.7%,0.85,63.2,0.58,2016-06-14,2016-09-12
Veeker,0.72,0.70,61.5%,0.56,54.4,0.45,2016-06-14,2016-09-12
Mr.six,1.14,0.72,68.0%,1.29,83.5,0.77,2016-06-14,2016-09-12
Drea3er,1.09,0.70,72.0%,1.09,78.7,0.74,2016-06-14,2016-09-12
0i,1.01,0.76,70.1%,1.02,77.2,0.69,2016-06-14,2016-09-12
QuQu,1.01,0.76,69.0%,0.95,80.2,0.69,2016-06-14,2016-09-12
Rita,0.94,0.74,68.6%,0.90,73.4,0.61,2016-06-14,2016-09-12
hpp,1.20,0.86,59.1%,1.54,98.3,0.91,2016-06-14,2016-09-12
buster,0.84,0.91,59.1%,0.66,77.8,0.64,2016-06-14,2016-09-12
flomaster,0.80,0.95,63.6%,0.77,70.4,0.68,2016-06-14,2016-09-12
kev1n,0.73,0.95,57.1%,0.93,58.5,0.52,2016-06-14,2016-09-12
tecek,1.24,0.61,77.3%,1.33,79.0,0.72,2016-06-14,2016-09-12
Galantis,0.68,0.86,45.5%,0.68,63.3,0.45,2016-06-14,2016-09-12
uN1,0.65,0.86,57.1%,0.61,67.6,0.43,2016-06-14,2016-09-12
t4styy,0.78,0.81,52.4%,0.55,72.2,0.62,2016-06-14,2016-09-12
DeniMM,0.81,0.90,57.1%,0.95,78.2,0.62,2016-06-14,2016-09-12
ponczek,1.15,0.64,76.1%,1.05,79.1,0.77,2016-06-14,2016-09-12
darko,1.33,0.61,75.5%,1.50,86.8,0.84,2016-06-14,2016-09-12
wizzem,0.80,0.81,52.4%,0.90,65.9,0.57,2016-06-14,2016-09-12
bugge,1.08,0.71,65.3%,1.27,80.6,0.73,2016-06-14,2016-09-12
KriLLe,0.87,0.79,63.2%,0.81,73.9,0.60,2016-06-14,2016-09-12
meesHa,1.11,0.63,68.2%,1.04,79.5,0.75,2016-06-14,2016-09-12
bland,1.02,0.67,66.5%,1.06,72.8,0.64,2016-06-14,2016-09-12
t1mzy,0.95,0.70,67.5%,0.79,72.3,0.62,2016-06-14,2016-09-12
andzie,1.11,0.70,66.3%,1.35,77.0,0.73,2016-06-14,2016-09-12
stopSHOT,0.99,0.73,71.1%,1.00,72.1,0.65,2016-06-14,2016-09-12
Meddo,0.95,0.67,69.9%,0.77,69.2,0.62,2016-06-14,2016-09-12
shadow,1.03,0.72,60.9%,1.21,73.4,0.76,2016-06-14,2016-09-12
michi,1.10,0.71,69.9%,1.16,81.7,0.72,2016-06-14,2016-09-12
jenko,1.05,0.79,66.7%,1.17,78.4,0.83,2016-06-14,2016-09-12
ALEX,1.14,0.70,72.4%,1.15,84.9,0.74,2016-06-14,2016-09-12
matHEND,1.05,0.68,69.4%,1.06,74.4,0.71,2016-06-14,2016-09-12
v1N,0.96,0.81,74.1%,0.85,78.5,0.67,2016-06-14,2016-09-12
xillian,0.97,0.74,66.7%,1.16,69.7,0.56,2016-06-14,2016-09-12
Bernard,0.99,0.81,63.0%,0.89,86.6,0.70,2016-06-14,2016-09-12
axrRRRRR,0.77,0.67,51.9%,0.84,53.3,0.52,2016-06-14,2016-09-12
benny,1.07,0.68,75.0%,1.00,75.0,0.64,2016-06-14,2016-09-12
Jayzwalkingz,1.13,0.63,71.6%,1.16,75.2,0.73,2016-06-14,2016-09-12
Krewmer,1.03,0.65,71.3%,0.91,73.0,0.64,2016-06-14,2016-09-12
zape,1.16,0.67,71.1%,1.30,78.6,0.77,2016-06-14,2016-09-12
xajdish,1.22,0.73,74.5%,1.35,89.5,0.80,2016-06-14,2016-09-12
G1DO,0.92,0.74,63.0%,1.05,66.4,0.63,2016-06-14,2016-09-12
BouLy,0.91,0.75,66.1%,0.96,69.1,0.58,2016-06-14,2016-09-12
shhhack,0.77,0.77,70.3%,0.52,61.0,0.52,2016-06-14,2016-09-12
ZywOo,1.20,0.75,67.2%,1.40,88.8,0.80,2016-06-14,2016-09-12
yel,1.15,0.66,68.9%,1.26,78.9,0.76,2016-06-14,2016-09-12
PKL,1.03,0.68,68.0%,1.03,74.9,0.69,2016-06-14,2016-09-12
nak,0.95,0.70,66.1%,0.89,74.3,0.62,2016-06-14,2016-09-12
DeStiNy,1.15,0.68,75.5%,1.15,83.6,0.72,2016-06-14,2016-09-12
bit,0.95,0.69,69.4%,0.84,68.4,0.61,2016-06-14,2016-09-12
EMENK,0.95,0.76,69.4%,0.91,74.4,0.62,2016-06-14,2016-09-12
mds,0.74,0.87,52.2%,0.64,66.5,0.52,2016-06-14,2016-09-12
Nyuma,1.06,0.65,69.6%,0.67,85.8,0.74,2016-06-14,2016-09-12
MJE,0.89,0.96,60.9%,1.19,79.3,0.74,2016-06-14,2016-09-12
CMEPTb,0.91,0.74,56.5%,0.93,66.2,0.61,2016-06-14,2016-09-12
purgen,0.39,0.83,39.1%,0.10,49.4,0.35,2016-06-14,2016-09-12
DuDe,0.82,0.68,63.2%,0.72,61.7,0.53,2016-06-14,2016-09-12
kenshex,0.89,0.78,63.9%,0.93,70.9,0.61,2016-06-14,2016-09-12
GW,1.04,0.72,68.6%,1.13,74.0,0.72,2016-06-14,2016-09-12
maeda,0.98,0.77,61.9%,1.15,81.6,0.68,2016-06-14,2016-09-12
Fluyr,0.82,0.76,58.9%,0.78,70.4,0.59,2016-06-14,2016-09-12
mantuu,1.20,0.68,71.6%,1.31,85.0,0.81,2016-06-14,2016-09-12
Foolz,0.88,0.69,66.5%,0.76,66.0,0.58,2016-06-14,2016-09-12
ISSAA,1.34,0.72,71.8%,1.61,99.0,0.91,2016-06-14,2016-09-12
gustaviN,1.03,0.80,71.1%,0.97,82.3,0.64,2016-06-14,2016-09-12
titi,0.71,0.89,60.0%,0.73,63.2,0.56,2016-06-14,2016-09-12
Batistuta,1.17,0.76,73.3%,1.17,86.4,0.80,2016-06-14,2016-09-12
LosK,0.86,0.82,64.4%,0.99,65.0,0.62,2016-06-14,2016-09-12
frozeN,0.86,0.87,55.6%,0.95,73.7,0.60,2016-06-14,2016-09-12
hunt3rr,0.80,0.73,60.9%,0.78,59.4,0.54,2016-06-14,2016-09-12
Zerocool,0.92,0.74,65.7%,0.91,72.3,0.63,2016-06-14,2016-09-12
VIPPEER,1.08,0.72,69.7%,1.14,79.8,0.74,2016-06-14,2016-09-12
royk,0.99,0.69,65.8%,0.92,76.3,0.69,2016-06-14,2016-09-12
tedderzy,1.10,0.63,75.3%,1.05,75.4,0.65,2016-06-14,2016-09-12
derciak,0.86,0.75,65.6%,0.84,61.3,0.55,2016-06-14,2016-09-12
redSNK,0.73,0.76,61.6%,0.59,61.7,0.49,2016-06-14,2016-09-12
Lumji,1.04,0.80,65.7%,1.33,85.5,0.67,2016-06-14,2016-09-12
matty,1.25,0.63,73.6%,1.34,90.7,0.80,2016-06-14,2016-09-12
neaLaN,0.86,0.86,63.6%,1.02,69.2,0.50,2016-06-14,2016-09-12
Twistzz,1.11,0.67,72.1%,1.11,77.4,0.74,2016-06-14,2016-09-12
Celrate,1.10,0.72,69.3%,1.10,82.2,0.78,2016-06-14,2016-09-12
fr0slev,0.97,0.72,67.3%,0.93,72.0,0.67,2016-06-14,2016-09-12
theguy,0.61,0.87,58.7%,0.43,57.2,0.44,2016-06-14,2016-09-12
TaM,0.54,0.89,50.8%,0.59,47.4,0.40,2016-06-14,2016-09-12
jayy,0.89,0.84,63.5%,0.79,80.6,0.70,2016-06-14,2016-09-12
c4Lypso,0.69,0.84,57.1%,0.67,58.6,0.52,2016-06-14,2016-09-12
g0DLIKE,1.02,0.77,65.9%,0.99,83.9,0.80,2016-06-14,2016-09-12
V1ns,0.67,0.84,54.5%,0.70,63.6,0.50,2016-06-14,2016-09-12
moNster,0.69,0.89,52.3%,0.88,65.7,0.61,2016-06-14,2016-09-12
uNk,0.71,0.75,65.9%,0.49,52.0,0.50,2016-06-14,2016-09-12
RIVAGE,0.56,0.82,56.8%,0.25,60.1,0.45,2016-06-14,2016-09-12
wAKKa,0.64,0.90,60.3%,0.59,59.9,0.48,2016-06-14,2016-09-12
kr1zzer,0.95,0.73,63.6%,0.93,78.0,0.63,2016-06-14,2016-09-12
rmn,0.94,0.70,63.6%,0.79,70.8,0.68,2016-06-14,2016-09-12
ZELIN,1.23,0.65,73.5%,1.23,87.9,0.85,2016-06-14,2016-09-12
Pizituh,1.14,0.64,76.0%,1.10,78.2,0.71,2016-06-14,2016-09-12
arki,0.95,0.70,68.6%,0.90,71.9,0.61,2016-06-14,2016-09-12
SOKER,1.15,0.74,66.5%,1.39,85.4,0.79,2016-06-14,2016-09-12
Skurk,0.88,0.73,59.7%,1.00,70.9,0.58,2016-06-14,2016-09-12
ScRm,1.22,0.63,74.0%,1.28,80.6,0.79,2016-06-14,2016-09-12
kruzer,0.89,0.70,63.8%,0.88,66.1,0.60,2016-06-14,2016-09-12
pallib0ndi,1.19,0.69,68.8%,1.24,87.7,0.83,2016-06-14,2016-09-12
CaPPiNg!,1.08,0.67,70.2%,1.07,77.2,0.72,2016-06-14,2016-09-12
allee,1.10,0.74,68.8%,1.19,83.6,0.74,2016-06-14,2016-09-12
jackhan,1.17,0.68,72.7%,1.19,85.0,0.77,2016-06-14,2016-09-12
smartshi,1.12,0.70,72.5%,1.15,81.2,0.77,2016-06-14,2016-09-12
moki,0.98,0.69,69.4%,0.99,70.8,0.63,2016-06-14,2016-09-12
BlackMamba,1.04,0.67,71.6%,1.01,74.6,0.66,2016-06-14,2016-09-12
twist,1.10,0.66,70.8%,1.11,77.5,0.69,2016-06-14,2016-09-12
Jewelry,1.19,0.65,72.2%,1.29,83.7,0.78,2016-06-14,2016-09-12
AudDzh,0.87,0.74,66.0%,0.86,66.4,0.55,2016-06-14,2016-09-12
Attiaz,0.91,0.85,66.0%,0.98,74.3,0.72,2016-06-14,2016-09-12
Zaril,0.94,0.79,64.2%,1.02,81.0,0.55,2016-06-14,2016-09-12
Tiza,1.15,0.75,77.4%,1.26,85.2,0.75,2016-06-14,2016-09-12
Nap,1.18,0.68,71.7%,1.31,81.6,0.81,2016-06-14,2016-09-12
zLex,1.09,0.65,74.3%,1.02,73.5,0.68,2016-06-14,2016-09-12
Noop,0.55,0.85,47.2%,0.50,53.8,0.43,2016-06-14,2016-09-12
arvid,0.89,0.69,65.4%,0.83,64.6,0.60,2016-06-14,2016-09-12
GruBy,1.06,0.69,70.6%,1.08,77.0,0.67,2016-06-14,2016-09-12
Hyper,0.99,0.66,69.0%,0.89,71.5,0.64,2016-06-14,2016-09-12
peet,1.00,0.67,68.3%,1.01,69.1,0.65,2016-06-14,2016-09-12
Furlan,1.15,0.68,71.2%,1.22,81.9,0.74,2016-06-14,2016-09-12
rallen,1.14,0.66,72.6%,1.13,81.8,0.73,2016-06-14,2016-09-12
miksu,0.90,0.65,68.4%,0.61,62.0,0.61,2016-06-14,2016-09-12
Artill,1.06,0.73,69.0%,1.19,78.7,0.70,2016-06-14,2016-09-12
bottle,1.16,0.71,72.3%,1.17,85.0,0.78,2016-06-14,2016-09-12
BENDJI,1.06,0.71,67.5%,1.11,78.4,0.71,2016-06-14,2016-09-12
KAB0M,1.12,0.65,74.0%,1.01,81.3,0.72,2016-06-14,2016-09-12
pbD,0.93,0.69,66.7%,0.86,67.9,0.61,2016-06-14,2016-09-12
333ed2k,1.13,0.71,73.8%,1.14,81.7,0.77,2016-06-14,2016-09-12
ryk,0.98,0.70,68.0%,1.00,72.0,0.63,2016-06-14,2016-09-12
ropz,1.09,0.73,67.1%,1.24,78.8,0.74,2016-06-14,2016-09-12
cheti,1.15,0.65,72.1%,1.16,81.8,0.74,2016-06-14,2016-09-12
nitr0,1.11,0.70,70.3%,1.17,79.5,0.74,2016-06-14,2016-09-12
EliGE,1.10,0.69,71.7%,1.16,78.7,0.70,2016-06-14,2016-09-12
Hiko,1.04,0.62,71.2%,0.89,72.9,0.66,2016-06-14,2016-09-12
jdm64,1.04,0.65,68.3%,1.04,70.6,0.67,2016-06-14,2016-09-12
BARBARR,1.07,0.70,67.0%,1.18,77.3,0.72,2016-06-14,2016-09-12
maeVe,1.02,0.65,69.2%,0.95,73.6,0.65,2016-06-14,2016-09-12
es3tag,1.02,0.71,68.8%,1.03,75.8,0.66,2016-06-14,2016-09-12
DeadFox,1.07,0.70,66.7%,1.14,77.7,0.74,2016-06-14,2016-09-12
Jumpy,0.80,0.72,64.3%,0.72,59.2,0.48,2016-06-14,2016-09-12
Pimp,1.09,0.65,72.0%,1.00,78.2,0.70,2016-06-14,2016-09-12
SamVan,1.00,0.63,72.2%,0.87,71.2,0.56,2016-06-14,2016-09-12
to1nou,1.11,0.66,71.9%,1.11,74.1,0.74,2016-06-14,2016-09-12
Ex6TenZ,1.19,0.64,73.6%,1.20,84.2,0.76,2016-06-14,2016-09-12
DANZ,0.98,0.79,58.3%,1.08,84.8,0.73,2016-06-14,2016-09-12
NpK,0.94,0.66,65.0%,0.89,68.6,0.56,2016-06-14,2016-09-12
RequieM,0.83,0.83,62.5%,0.73,79.6,0.62,2016-06-14,2016-09-12
guGi,0.88,0.72,66.4%,0.83,65.5,0.56,2016-06-14,2016-09-12
Bustem,0.92,0.69,68.9%,0.87,64.9,0.57,2016-06-14,2016-09-12
saveeey,1.36,0.61,72.3%,1.58,92.4,0.86,2016-06-14,2016-09-12
MaTaFe,1.01,0.68,66.3%,1.04,74.9,0.66,2016-06-14,2016-09-12
bomez,1.02,0.70,71.4%,0.96,73.1,0.67,2016-06-14,2016-09-12
m1tch,0.91,0.75,58.3%,1.06,70.1,0.75,2016-06-14,2016-09-12
XPL,0.52,0.85,56.2%,0.44,47.2,0.38,2016-06-14,2016-09-12
BlackouT,0.63,0.83,50.0%,0.74,57.5,0.42,2016-06-14,2016-09-12
Waterbaby,0.95,0.78,66.6%,0.96,76.3,0.67,2016-06-14,2016-09-12
York,0.91,0.75,63.8%,0.85,74.1,0.66,2016-06-14,2016-09-12
KTWO,0.97,0.74,62.4%,1.05,75.9,0.67,2016-06-14,2016-09-12
Maden,0.97,0.73,62.3%,1.08,72.8,0.66,2016-06-14,2016-09-12
Monu,0.87,0.74,65.4%,0.83,65.7,0.59,2016-06-14,2016-09-12
astro1,1.02,0.75,69.2%,1.09,76.3,0.66,2016-06-14,2016-09-12
Gigi,1.11,0.64,72.0%,1.00,80.2,0.73,2016-06-14,2016-09-12
artie,1.01,0.68,69.9%,1.01,72.7,0.66,2016-06-14,2016-09-12
RaDe,0.89,0.59,64.8%,0.72,59.3,0.56,2016-06-14,2016-09-12
AaroN,1.12,0.71,69.6%,1.17,83.5,0.76,2016-06-14,2016-09-12
robiin,1.12,0.72,71.7%,1.16,86.2,0.73,2016-06-14,2016-09-12
ed101,0.99,0.75,68.3%,1.01,75.7,0.68,2016-06-14,2016-09-12
ayaya,1.20,0.69,71.0%,1.33,87.6,0.77,2016-06-14,2016-09-12
wudixt,0.90,0.74,71.2%,0.84,64.4,0.57,2016-06-14,2016-09-12
ChrisMaQ,1.07,0.68,74.0%,1.03,73.5,0.70,2016-06-14,2016-09-12
HZ,1.27,0.70,74.0%,1.41,92.0,0.85,2016-06-14,2016-09-12
Lobanjica,1.21,0.69,69.1%,1.44,87.3,0.80,2016-06-14,2016-09-12
dqyks,0.87,0.77,67.1%,0.82,66.5,0.59,2016-06-14,2016-09-12
Davidp,1.55,0.59,82.2%,1.68,97.0,1.00,2016-06-14,2016-09-12
YOUYOU,1.15,0.67,74.8%,1.21,76.4,0.72,2016-06-14,2016-09-12
muziwei,0.95,0.74,67.0%,0.93,69.0,0.67,2016-06-14,2016-09-12
ZOREE,1.06,0.64,67.9%,1.14,69.6,0.69,2016-06-14,2016-09-12
xseveN,1.15,0.70,74.8%,1.14,85.9,0.71,2016-06-14,2016-09-12
SAGGERTON,1.13,0.71,70.0%,1.27,80.4,0.76,2016-06-14,2016-09-12
Twista,0.91,0.67,66.9%,0.82,66.7,0.59,2016-06-14,2016-09-12
BTN,1.03,0.73,67.0%,1.10,77.5,0.66,2016-06-14,2016-09-12
nJ,0.88,0.82,66.2%,1.04,65.4,0.59,2016-06-14,2016-09-12
r1d3r,0.73,0.78,62.8%,0.60,57.8,0.50,2016-06-14,2016-09-12
REAL,0.88,0.71,62.2%,0.86,71.3,0.55,2016-06-14,2016-09-12
tt,0.92,0.71,63.4%,0.92,69.3,0.64,2016-06-14,2016-09-12
chelo,0.98,0.75,68.8%,0.97,74.8,0.68,2016-06-14,2016-09-12
NEKIZ,0.90,0.73,65.7%,0.85,69.3,0.61,2016-06-14,2016-09-12
iDk,1.16,0.68,69.5%,1.21,88.6,0.79,2016-06-14,2016-09-12
AMD,0.52,0.83,50.0%,0.47,41.8,0.38,2016-06-14,2016-09-12
MAUSEN,0.45,0.75,33.3%,0.58,39.3,0.25,2016-06-14,2016-09-12
spat1ch,1.07,0.79,62.9%,1.31,83.0,0.73,2016-06-14,2016-09-12
enk,0.73,0.79,50.0%,0.66,65.5,0.58,2016-06-14,2016-09-12
topstop,1.04,0.67,62.5%,0.90,78.6,0.71,2016-06-14,2016-09-12
peonzoid,0.88,0.82,66.5%,0.92,68.8,0.62,2016-06-14,2016-09-12
j0der,0.94,0.79,70.6%,0.86,71.1,0.68,2016-06-14,2016-09-12
makmuR,1.06,0.66,69.6%,1.10,69.8,0.68,2016-06-14,2016-09-12
flexeeee,1.26,0.65,74.5%,1.32,90.8,0.78,2016-06-14,2016-09-12
HackeM,0.96,0.61,70.4%,0.78,65.4,0.58,2016-06-14,2016-09-12
Urosh,1.14,0.78,69.3%,1.32,86.6,0.75,2016-06-14,2016-09-12
Fadey,1.03,0.73,68.2%,1.08,74.1,0.69,2016-06-14,2016-09-12
NEAr,0.80,0.79,61.3%,0.80,63.7,0.56,2016-06-14,2016-09-12
skovA,0.96,0.76,64.6%,1.03,75.5,0.63,2016-06-14,2016-09-12
fajkus,0.86,0.75,64.6%,0.81,64.4,0.55,2016-06-14,2016-09-12
OKOLICIOUZ,0.99,0.78,64.0%,1.15,77.4,0.75,2016-06-14,2016-09-12
jenson,0.71,0.82,54.4%,0.77,61.4,0.51,2016-06-14,2016-09-12
syken,0.90,0.81,65.8%,0.79,74.3,0.69,2016-06-14,2016-09-12
furiSLAYER,0.93,0.85,60.0%,0.96,83.7,0.80,2016-06-14,2016-09-12
Ark3M,0.50,0.90,50.0%,0.54,52.5,0.35,2016-06-14,2016-09-12
Diray,0.30,1.00,50.0%,0.14,41.4,0.25,2016-06-14,2016-09-12
clax,0.79,0.85,50.0%,1.08,73.0,0.60,2016-06-14,2016-09-12
ex4mple,0.46,0.85,50.0%,0.26,47.5,0.45,2016-06-14,2016-09-12
LyGHT,1.07,0.75,63.2%,1.21,82.3,0.78,2016-06-14,2016-09-12
stb,0.90,0.73,63.7%,0.98,65.0,0.64,2016-06-14,2016-09-12
Slayness,0.94,0.71,64.2%,0.84,69.2,0.68,2016-06-14,2016-09-12
RashiE,0.33,1.00,37.5%,0.16,47.2,0.38,2016-06-14,2016-09-12
enix,0.96,0.75,64.5%,1.14,70.3,0.65,2016-06-14,2016-09-12
ANDROID,1.03,0.72,69.4%,0.97,75.9,0.72,2016-06-14,2016-09-12
Surreal,0.98,0.68,66.6%,0.98,68.0,0.64,2016-06-14,2016-09-12
witmer,0.83,0.76,63.6%,0.82,62.4,0.55,2016-06-14,2016-09-12
koosta,1.06,0.71,67.1%,1.16,79.0,0.69,2016-06-14,2016-09-12
reltuC,0.98,0.66,67.2%,0.94,68.8,0.64,2016-06-14,2016-09-12
hazed,0.95,0.73,65.6%,1.01,72.2,0.65,2016-06-14,2016-09-12
HS,1.16,0.69,70.6%,1.23,82.6,0.78,2016-06-14,2016-09-12
TENZKI,1.00,0.70,70.3%,0.95,72.8,0.66,2016-06-14,2016-09-12
Maniac,0.92,0.69,65.3%,0.84,70.5,0.61,2016-06-14,2016-09-12
glace,1.06,0.67,70.2%,1.02,74.9,0.69,2016-06-14,2016-09-12
mini,1.24,0.75,74.8%,1.40,90.1,0.80,2016-06-14,2016-09-12
cadiaN,1.14,0.66,69.3%,1.19,80.0,0.75,2016-06-14,2016-09-12
Ethan,0.96,0.73,68.2%,0.92,71.5,0.64,2016-06-14,2016-09-12
Ryxxo,1.05,0.70,68.7%,1.08,76.4,0.69,2016-06-14,2016-09-12
Explicit,0.94,0.76,64.3%,0.97,77.6,0.63,2016-06-14,2016-09-12
stYle,0.96,0.70,64.0%,1.04,69.8,0.64,2016-06-14,2016-09-12
Not7,1.31,0.67,76.3%,1.40,95.1,0.86,2016-06-14,2016-09-12
Kymeister,1.14,0.66,73.8%,1.18,78.6,0.74,2016-06-14,2016-09-12
kelele,1.12,0.70,71.7%,1.18,78.9,0.77,2016-06-14,2016-09-12
Richie,1.16,0.66,75.4%,1.19,77.3,0.74,2016-06-14,2016-09-12
Kixerx,1.06,0.70,73.9%,1.01,79.3,0.66,2016-06-14,2016-09-12
Hellhound,0.97,0.71,64.0%,1.02,71.8,0.68,2016-06-14,2016-09-12
Apocalypse,1.00,0.77,64.3%,1.19,79.7,0.69,2016-06-14,2016-09-12
BrN,1.01,0.73,64.8%,1.20,74.5,0.68,2016-06-14,2016-09-12
STANNISLAW,0.82,0.73,57.7%,0.96,58.3,0.52,2016-06-14,2016-09-12
Foreign,0.98,0.82,71.8%,1.13,67.2,0.65,2016-06-14,2016-09-12
FASHR,1.04,0.75,63.4%,1.10,80.9,0.75,2016-06-14,2016-09-12
luosrevo,0.95,0.70,66.7%,0.93,71.3,0.55,2016-06-14,2016-09-12
kajsk1ng,0.96,0.72,63.6%,1.05,73.8,0.62,2016-06-14,2016-09-12
sleepy,1.01,0.68,67.6%,0.82,78.8,0.70,2016-06-14,2016-09-12
Bowie$,0.89,0.77,70.4%,0.87,64.3,0.51,2016-06-14,2016-09-12
Viking,1.12,0.71,71.2%,1.21,82.9,0.70,2016-06-14,2016-09-12
tiz,0.90,0.71,59.7%,0.92,66.9,0.66,2016-06-14,2016-09-12
vEz,0.98,0.67,70.5%,0.84,72.8,0.64,2016-06-14,2016-09-12
PLAYER1,1.24,0.67,79.1%,1.18,87.4,0.79,2016-06-14,2016-09-12
Subroza,0.96,0.73,64.5%,0.98,77.4,0.63,2016-06-14,2016-09-12
knave,0.66,0.75,50.0%,0.66,49.7,0.49,2016-06-14,2016-09-12
xiN,0.91,0.66,66.6%,0.79,64.4,0.61,2016-06-14,2016-09-12
Tiaantije,0.89,0.70,65.5%,0.82,67.4,0.61,2016-06-14,2016-09-12
kustoM,1.00,0.76,64.5%,1.17,78.2,0.67,2016-06-14,2016-09-12
