Match_ID,Player_Slot,Radiant_Win,Duration,Game_Mode,Lobby_Type,Hero_ID,Start_Time,Version,Kills,Deaths,Leaver_Status,Party_Size,Skill
646491,131,False,2038,0,0,14,2011-11-28,,12,3,0,,
729985,2,True,2593,0,0,14,2011-12-01,,22,3,0,,
780708,128,False,2182,0,0,39,2011-12-01,,16,1,0,,
783297,0,True,2220,0,0,14,2011-12-01,,22,1,0,,
1015103,4,False,1828,0,0,42,2011-12-05,,5,5,0,,
1067823,128,True,2561,0,0,14,2011-12-05,,13,5,0,,
1168147,128,False,1762,0,0,14,2011-12-08,,25,0,0,,
1221978,3,True,494,0,0,17,2011-12-08,,2,0,0,,
1310685,131,True,2021,0,0,14,2011-12-09,,10,4,0,,
1613495,3,False,1549,0,0,1,2011-12-15,,8,2,0,,
1728786,131,True,2294,0,0,40,2011-12-17,,0,10,0,,
1730027,129,False,1837,0,0,19,2011-12-17,,12,2,0,,
1731084,131,True,1124,0,0,51,2011-12-17,,0,3,0,,
1893419,4,True,2618,0,0,28,2011-12-20,,7,5,0,,
1895543,132,True,3922,0,0,14,2011-12-20,,23,8,0,,
2062901,2,True,1994,0,0,62,2011-12-22,,26,1,0,,
2064940,128,False,1308,0,0,14,2011-12-22,,23,1,0,,
2067503,128,False,2409,0,0,60,2011-12-22,,31,6,0,,
2179236,0,False,2895,0,0,64,2011-12-24,,2,8,0,,
2182893,3,True,2308,0,0,53,2011-12-24,,15,7,0,,
2184181,130,False,1346,0,0,65,2011-12-24,,8,0,0,,
2240562,0,False,3012,0,0,14,2011-12-25,,13,9,0,,
2242542,129,False,2689,0,0,62,2011-12-26,,19,6,0,,
2246370,129,True,2383,0,0,28,2011-12-26,,8,9,0,,
2248215,130,False,3613,0,0,17,2011-12-26,,25,9,0,,
2282620,130,True,2608,0,0,13,2011-12-26,,14,5,0,,
2285684,0,False,3239,0,0,14,2011-12-26,,15,7,0,,
2288303,130,True,2262,0,0,53,2011-12-26,,1,5,0,,
2337718,0,True,2374,0,0,32,2011-12-27,,18,0,0,,
2339851,0,False,1981,0,0,62,2011-12-27,,11,8,0,,
2342346,0,False,2528,0,0,17,2011-12-27,,6,7,0,,
2345375,2,True,2430,0,0,60,2011-12-27,,27,2,0,,
2347218,129,False,1511,0,0,14,2011-12-27,,15,2,0,,
2349599,0,True,2496,0,0,13,2011-12-27,,13,4,0,,
2443039,2,True,2822,0,0,26,2011-12-29,,8,4,0,,
2444778,131,False,951,0,0,13,2011-12-29,,7,0,0,,
2447332,130,False,2473,0,0,59,2011-12-29,,10,4,0,,
2449528,130,True,1918,0,0,23,2011-12-29,,7,7,0,,
2450194,130,False,473,0,0,14,2011-12-29,,1,1,0,,
2459276,128,False,2368,0,0,19,2011-12-29,,22,5,0,,
2462124,129,True,3271,0,0,68,2011-12-29,,20,9,0,,
2502888,1,True,1580,0,0,34,2011-12-30,,7,1,0,,
2505763,0,True,2984,0,0,22,2011-12-30,,6,2,0,,
2507578,2,True,1811,0,0,14,2011-12-30,,16,1,0,,
2509945,130,True,2660,0,0,35,2011-12-30,,4,4,0,,
2714539,130,False,2277,0,0,14,2012-01-03,,22,5,0,,
2716441,3,False,2193,0,0,19,2012-01-03,,15,6,0,,
2754986,1,False,2318,0,0,11,2012-01-04,,4,8,0,,
2757181,128,False,2510,0,0,60,2012-01-04,,27,4,0,,
2801613,128,False,2131,0,0,65,2012-01-05,,18,5,0,,
2803638,129,False,2056,0,0,14,2012-01-05,,8,5,0,,
2844381,132,True,1536,0,0,73,2012-01-06,,0,7,0,,
2848548,2,False,2674,0,0,52,2012-01-06,,7,9,0,,
2851213,2,True,2851,0,0,14,2012-01-06,,12,9,0,,
2857474,130,False,2255,0,0,54,2012-01-06,,14,2,0,,
2864070,4,False,2184,0,0,5,2012-01-07,,1,8,0,,
2866504,0,True,3036,0,0,14,2012-01-07,,8,7,0,,
2867789,129,True,1890,0,0,27,2012-01-07,,5,8,0,,
3012314,131,False,2528,0,0,52,2012-01-09,,13,4,0,,
3015280,129,False,2864,0,0,14,2012-01-09,,17,7,0,,
3065399,0,True,2386,0,0,14,2012-01-10,,6,4,0,,
3107892,128,False,1612,0,0,40,2012-01-11,,8,2,0,,
3109409,128,False,1821,0,0,9,2012-01-11,,13,0,0,,
3111858,0,True,3008,0,0,14,2012-01-11,,9,6,0,,
3160094,130,True,2564,0,0,14,2012-01-12,,14,6,0,,
3247185,131,True,3270,0,0,62,2012-01-13,,17,8,0,,
3249593,129,True,1872,0,0,71,2012-01-13,,4,11,0,,
3252662,130,False,2334,0,0,21,2012-01-13,,9,4,0,,
3450425,128,False,2545,0,0,14,2012-01-16,,25,2,0,,
3507010,130,False,1972,0,0,68,2012-01-17,,18,7,0,,
3509576,2,True,2196,0,0,31,2012-01-17,,13,1,0,,
3558306,128,False,2156,0,0,31,2012-01-18,,9,5,0,,
3559975,2,True,1836,0,0,21,2012-01-18,,5,2,0,,
3562417,3,False,2903,0,0,14,2012-01-18,,13,3,0,,
3612228,2,True,1847,0,0,23,2012-01-19,,7,1,0,,
3613421,130,False,901,0,0,52,2012-01-19,,7,2,0,,
3615043,0,False,1422,0,0,71,2012-01-19,,5,7,0,,
3616649,1,True,1959,0,0,14,2012-01-19,,20,3,0,,
3710708,2,False,2168,0,0,74,2012-01-20,,12,3,0,,
3713133,0,True,2032,0,0,62,2012-01-20,,13,6,0,,
3723592,130,True,2493,0,0,74,2012-01-21,,15,5,0,,
3847582,130,True,2724,0,0,68,2012-01-22,,10,9,0,,
3924459,0,False,2157,0,0,14,2012-01-23,,7,6,0,,
3926528,128,False,2199,0,0,13,2012-01-23,,4,8,0,,
3964631,2,True,1314,0,0,27,2012-01-24,,14,0,0,,
3968337,0,True,3134,0,0,19,2012-01-24,,21,5,0,,
3981018,129,True,2130,0,0,34,2012-01-24,,8,3,1,,
4021547,128,False,3027,0,0,74,2012-01-25,,8,5,0,,
4038132,3,False,1794,0,0,39,2012-01-25,,3,8,0,,
4078183,129,True,2199,0,0,74,2012-01-26,,4,5,0,,
4081389,0,False,2802,0,0,53,2012-01-26,,0,4,0,,
4083967,1,False,2041,0,0,15,2012-01-26,,3,6,0,,
4415555,128,True,3250,0,0,74,2012-01-30,,9,3,0,,
4418280,2,True,2164,0,0,62,2012-01-30,,31,1,0,,
4420749,0,True,1921,0,0,14,2012-01-30,,13,2,0,,
4422469,129,False,1216,0,0,62,2012-01-30,,6,4,0,,
4427113,130,False,3410,0,0,49,2012-01-30,,24,8,0,,
4499734,1,True,1718,0,0,14,2012-01-31,,11,4,0,,
4501998,1,True,2112,0,0,23,2012-01-31,,17,3,0,,
4504440,129,False,2525,0,0,51,2012-01-31,,13,2,0,,
4564352,0,True,3219,0,0,17,2012-02-01,,14,7,0,,
4566537,129,True,2328,0,0,25,2012-02-01,,11,13,0,,
4634573,128,False,3196,0,0,9,2012-02-02,,20,4,0,,
4637996,128,True,2969,0,0,74,2012-02-02,,12,5,0,,
4873459,0,True,859,0,0,49,2012-02-06,,4,1,0,,
4874896,0,False,1654,0,0,15,2012-02-06,,4,2,0,,
4876597,129,False,1483,0,0,55,2012-02-06,,3,1,0,,
4878886,129,True,2649,0,0,33,2012-02-06,,5,9,0,,
4930184,129,True,3113,0,0,14,2012-02-06,,9,11,0,,
5061861,129,False,1977,0,0,74,2012-02-08,,18,4,0,,
5127691,129,False,3032,0,0,65,2012-02-09,,10,1,0,,
5130658,128,False,2519,0,0,14,2012-02-09,,23,2,0,,
5208806,128,True,1419,0,0,40,2012-02-11,,2,4,0,,
5210554,128,False,1845,0,0,74,2012-02-11,,13,1,0,,
5259661,128,False,2545,0,0,74,2012-02-11,,21,5,0,,
5351730,129,False,2746,0,0,74,2012-02-13,,5,5,0,,
5353397,132,True,2184,0,0,42,2012-02-13,,6,7,4,,
5355005,3,True,1922,0,0,74,2012-02-13,,13,1,0,,
5403374,2,False,1729,0,0,74,2012-02-13,,6,7,0,,
5750972,128,False,1161,0,0,74,2012-02-19,,6,1,0,,
5754141,128,False,3088,0,0,14,2012-02-19,,16,5,0,,
5757541,128,True,2439,0,0,17,2012-02-19,,10,7,0,,
5883517,130,False,386,0,0,74,2012-02-20,,3,1,0,,
5887847,129,True,3325,0,0,21,2012-02-20,,6,11,0,,
5951121,2,False,2755,0,0,76,2012-02-21,,11,11,0,,
5956778,2,True,3637,0,0,27,2012-02-21,,16,8,0,,
5960395,128,False,3376,0,0,14,2012-02-21,,16,8,0,,
6011529,129,True,1593,0,0,14,2012-02-22,,5,8,0,,
6085876,4,False,3488,0,0,21,2012-02-23,,13,4,0,,
6174017,129,False,2904,0,0,74,2012-02-25,,16,6,0,,
6176397,129,False,1869,0,0,53,2012-02-25,,7,0,0,,
6179300,129,True,2898,0,0,74,2012-02-25,,10,7,0,,
6393698,2,False,1820,0,0,14,2012-02-27,,8,7,0,,
6518542,3,True,1324,0,0,13,2012-02-29,,7,0,0,,
6583136,131,False,2256,0,0,39,2012-03-01,,19,2,0,,
6586574,129,True,1905,0,0,32,2012-03-01,,10,10,0,,
6596860,128,True,2510,0,0,74,2012-03-02,,13,8,0,,
6673811,128,True,1409,0,0,62,2012-03-03,,0,2,0,,
6676674,129,True,2645,0,0,42,2012-03-03,,13,6,0,,
6679273,0,False,1969,0,0,60,2012-03-03,,10,10,0,,
6984097,0,True,2420,0,0,13,2012-03-06,,16,4,0,,
7076046,130,False,2694,0,0,21,2012-03-08,,13,4,0,,
7138554,129,False,2060,0,0,14,2012-03-08,,12,2,0,,
7154984,128,True,2410,0,0,1,2012-03-09,,3,7,0,,
7158345,0,False,3120,0,0,19,2012-03-09,,7,7,0,,
7321062,0,True,1746,0,0,49,2012-03-11,,12,2,0,,
7323737,128,False,2109,0,0,32,2012-03-11,,13,3,0,,
7326384,131,False,2161,0,0,60,2012-03-11,,15,1,0,,
7329464,2,True,2950,0,0,21,2012-03-11,,6,3,0,,
7561425,129,False,2997,0,0,43,2012-03-14,,10,6,0,,
7781462,1,False,2967,0,0,13,2012-03-16,,17,6,0,,
7785881,128,False,2489,0,0,21,2012-03-16,,11,1,0,,
7801431,129,True,2557,0,0,74,2012-03-17,,12,5,0,,
7876854,2,False,2514,0,0,21,2012-03-17,,0,8,0,,
7884650,130,True,2904,0,0,14,2012-03-17,,13,9,0,,
7888871,2,True,1957,0,0,13,2012-03-17,,6,4,0,,
7893726,128,True,3286,0,0,51,2012-03-17,,12,6,0,,
7989728,4,True,916,0,0,11,2012-03-18,,0,0,1,,
7991570,3,False,2198,0,0,14,2012-03-18,,3,7,0,,
7994949,130,False,2622,0,0,68,2012-03-19,,13,4,0,,
8078373,130,True,2083,0,0,39,2012-03-20,,5,6,0,,
8081439,130,False,2515,0,0,19,2012-03-20,,14,4,0,,
8155293,129,False,2349,0,0,21,2012-03-21,,5,3,0,,
8158814,130,False,3019,0,0,23,2012-03-21,,10,4,0,,
8161125,1,True,2001,0,0,11,2012-03-21,,5,5,0,,
8227717,129,True,3038,0,0,49,2012-03-21,,6,7,0,,
8237802,2,False,2599,0,0,51,2012-03-21,,5,8,0,,
8241166,131,True,3330,0,0,55,2012-03-22,,2,6,0,,
8454929,132,False,2134,0,0,60,2012-03-23,,3,1,0,,
8457728,3,False,1223,0,0,28,2012-03-23,,0,2,0,,
8465149,0,True,2039,0,0,79,2012-03-23,,14,5,0,,
8470583,128,False,2850,0,0,17,2012-03-24,,21,5,0,,
8475456,131,False,1923,0,0,4,2012-03-24,,20,3,0,,
8479931,3,True,2735,0,0,79,2012-03-24,,13,5,0,,
8483588,4,True,1350,0,0,16,2012-03-24,,5,1,0,,
8580250,2,True,1900,0,0,37,2012-03-24,,4,6,0,,
8587962,1,False,3423,0,0,71,2012-03-24,,15,10,0,,
8602943,1,True,1801,0,0,14,2012-03-24,,18,3,0,,
8606806,2,False,1469,0,0,68,2012-03-24,,4,8,0,,
8611916,130,True,2402,0,0,47,2012-03-25,,14,7,0,,
8616245,129,False,1558,0,0,42,2012-03-25,,14,0,0,,
8621793,129,True,2990,0,0,10,2012-03-25,,10,11,0,,
8728164,129,True,2195,0,0,14,2012-03-25,,2,4,0,,
8839938,4,True,1407,0,0,68,2012-03-26,,4,3,0,,
8843312,131,False,2068,0,0,31,2012-03-26,,11,7,0,,
8846252,130,True,1705,0,0,14,2012-03-26,,2,9,0,,
8855999,129,True,1778,0,0,30,2012-03-27,,3,5,0,,
8976425,129,False,2425,0,0,65,2012-03-28,,13,6,0,,
8980106,132,False,2195,0,0,16,2012-03-28,,1,3,0,,
9456251,129,False,3175,0,0,74,2012-03-31,,6,4,0,,
9465548,1,True,3465,0,0,41,2012-03-31,,15,8,0,,
9611357,128,True,2911,0,0,79,2012-04-01,,10,7,0,,
9970673,129,False,3762,0,0,11,2012-04-04,,12,8,1,,
9974198,129,False,2203,0,0,19,2012-04-05,,17,3,0,,
9983054,3,False,2876,0,0,13,2012-04-05,,11,4,0,,
9986704,130,True,2347,0,0,3,2012-04-05,,2,9,0,,
10078048,130,False,2384,0,0,50,2012-04-05,,8,7,0,,
10083330,2,True,3046,0,0,16,2012-04-05,,6,10,0,,
