Name,KD,Wins,Losses,Winning_Percentage,Player_1,Player_2,Player_3,Player_4,Player_5,Start_Date,End_Date
Pnda,0.69,1,4,0.2,mummAy,blade,LILMAN,Toy,haptiiC,2016-06-14,2016-09-12
FENNEC ,0.86,3,5,0.375,RobbeN,Jada,Lyhn,Kheops,a1RO,2016-06-14,2016-09-12
Comanche,0.80,0,8,0.0,nsww,z1,fenvicious,vvalter,lamp,2016-06-14,2016-09-12
Montenegro,0.99,4,3,0.5714285714285714,Maden,Gigi,artie,Barkk,Lobanjica,2016-06-14,2016-09-12
Czech Republic,1.15,5,2,0.7142857142857143,KAPARZO,DEV7L,oKKo,BLUEE,ZEDKO,2016-06-14,2016-09-12
Space Jam,0.92,3,4,0.42857142857142855,uNdo,It's my,FANAT ROCKA,balblna,moonsh1n3,2016-06-14,2016-09-12
AlienTech,1.11,11,4,0.7333333333333333,KILLDREAM,marq,Pizituh,Rub3nix,ScRm,2016-06-14,2016-09-12
Croatia,1.02,5,3,0.625,rbfurious,NyX,st0Le,Mariuchii,revyy,2016-06-14,2016-09-12
X,1.13,54,22,0.7105263157894737,MODDII,valde,Friis,gla1ve,Snappi,2016-06-14,2016-09-12
Hungary,0.85,0,2,0.0,flashie,NEY,gabesson,DeadFox,mat1,2016-06-14,2016-09-12
autocracy,1.08,9,6,0.6,allow,Jinx,Europha,Muselet,ROK3T,2016-06-14,2016-09-12
Bulgaria,1.05,4,3,0.5714285714285714,minko,pNshr,psycho,NK4Y,v1c7oR,2016-06-14,2016-09-12
Slovenia,0.99,5,3,0.625,bomez,Imp,saveeey,MaTaFe,guGi,2016-06-14,2016-09-12
Swift,1.15,5,2,0.7142857142857143,st1cker,Morpheos,breAker,KarriBob,k1tkat,2016-06-14,2016-09-12
Isak,0.70,0,2,0.0,BERRY,EXR,holzt,b0RUP,HECTOz,2016-06-14,2016-09-12
Alpha,0.91,9,17,0.34615384615384615,BERRY,LOMME,JUGi,niko,squidi,2016-06-14,2016-09-12
BOOT,0.89,12,19,0.3870967741935484,dmm,DeStRoYeR,Sa7,baal,Ethan,2016-06-14,2016-09-12
ProGaming,1.06,7,5,0.5833333333333334,YJ,exit,jnt,raafa,luk,2016-06-14,2016-09-12
Lithuania,1.07,4,2,0.6666666666666666,TORAS,kreuw,meesHa,Veeker,lukjjE,2016-06-14,2016-09-12
HUEHUE,0.98,4,3,0.5714285714285714,meesHa,bland,t1mzy,andzie,stopSHOT,2016-06-14,2016-09-12
Preparation.Yellow,0.87,1,1,0.5,bugge,KriLLe,Meddo,shadow,MITZAN,2016-06-14,2016-09-12
Crowns,1.11,4,2,0.6666666666666666,benny,Jayzwalkingz,Krewmer,zape,xajdish,2016-06-14,2016-09-12
Venko,0.81,0,1,0.0,v1N,xillian,Bernard,axrRRRRR,G1DO,2016-06-14,2016-09-12
LDLC,1.00,10,10,0.5,ALEX,to1nou,Ex6TenZ,matHEND,BouLy,2016-06-14,2016-09-12
Luminosity,1.03,10,9,0.5263157894736842,yel,PKL,nak,DeStiNy,bit,2016-06-14,2016-09-12
IDM,0.84,2,6,0.25,kenshex,GW,maeda,Fluyr,BRNZ1K,2016-06-14,2016-09-12
Crashers,0.78,0,2,0.0,gustaviN,titi,Batistuta,LosK,frozeN,2016-06-14,2016-09-12
Chosen5,0.89,5,9,0.35714285714285715,Foolz,ISSAA,hunt3rr,VIPPEER,Zerocool,2016-06-14,2016-09-12
Entropy,1.05,4,3,0.5714285714285714,tedderzy,DuDe,mantuu,royk,b0bbzki,2016-06-14,2016-09-12
Just.MSI,0.73,0,1,0.0,mds,Nyuma,MJE,CMEPTb,purgen,2016-06-14,2016-09-12
nevermind,0.92,0,2,0.0,shhhack,ZywOo,EMENK,derciak,nexa,2016-06-14,2016-09-12
Infused,0.91,3,5,0.375,Puls3,jenko,redSNK,AaroN,Lumji,2016-06-14,2016-09-12
ATB,1.36,4,0,1.0,tecek,ponczek,darko,matty,michi,2016-06-14,2016-09-12
somalia,0.64,0,1,0.0,kev1n,uN1,t4styy,DeniMM,wizzem,2016-06-14,2016-09-12
zARLANS,0.71,0,1,0.0,neaLaN,hpp,buster,flomaster,Galantis,2016-06-14,2016-09-12
Team123,1.10,2,1,0.6666666666666666,rezex,Celrate,fr0slev,acoR,kr1zzer,2016-06-14,2016-09-12
FIVE,0.95,8,11,0.42105263157894735,Mr.six,Drea3er,0i,QuQu,Rita,2016-06-14,2016-09-12
TSM,0.97,11,21,0.34375,FNS,SicK,SEMPHIS,Twistzz,autimatic,2016-06-14,2016-09-12
Rulz,0.70,0,2,0.0,g0DLIKE,V1ns,moNster,uNk,RIVAGE,2016-06-14,2016-09-12
Synthetik,0.58,0,3,0.0,theguy,TaM,jayy,c4Lypso,wAKKa,2016-06-14,2016-09-12
Wizards,0.88,2,5,0.2857142857142857,rezex,Celrate,fr0slev,acoR,kr1zzer,2016-06-14,2016-09-12
Spain,1.07,2,2,0.5,arki,Kairi,SOKER,loWel,alex,2016-06-14,2016-09-12
Norway,0.96,1,1,0.5,Skurk,rain,jkaem,Polly,RUBINO,2016-06-14,2016-09-12
Portugal,0.98,2,3,0.4,KILLDREAM,rmn,ZELIN,Pizituh,ScRm,2016-06-14,2016-09-12
Sweden,1.30,2,0,1.0,GeT_RiGhT,dennis,flusha,twist,znajder,2016-06-14,2016-09-12
New4,1.06,12,10,0.5454545454545454,jackhan,smartshi,moki,BlackMamba,Jewelry,2016-06-14,2016-09-12
Iceland,0.97,2,3,0.4,kruzer,pallib0ndi,CaPPiNg!,allee,AudDzh,2016-06-14,2016-09-12
Germany,1.04,1,1,0.5,kzy,keev,kRYSTAL,tiziaN,tahsiN,2016-06-14,2016-09-12
Poland,0.99,1,1,0.5,MICHU,SZPERO,NEO,Furlan,Snax,2016-06-14,2016-09-12
Kazakhstan,1.17,4,1,0.8,Hobbit,mou,zLex,AdreN,fitch,2016-06-14,2016-09-12
Infinity,0.83,0,2,0.0,Attiaz,Zaril,Tiza,Nap,Noop,2016-06-14,2016-09-12
AGG,1.01,42,28,0.6,GruBy,Hyper,peet,Furlan,rallen,2016-06-14,2016-09-12
France,1.48,2,0,1.0,apEX,kennyS,NBK-,SmithZz,bodyy,2016-06-14,2016-09-12
DenDD,0.98,18,19,0.4864864864864865,robiin,BENDJI,KAB0M,pbD,t3h f4rm3r,2016-06-14,2016-09-12
Escape,0.93,14,20,0.4117647058823529,BARBARR,maeVe,es3tag,DeadFox,Jumpy,2016-06-14,2016-09-12
Liquid,1.03,19,15,0.5588235294117647,nitr0,EliGE,Hiko,jdm64,Pimp,2016-06-14,2016-09-12
Overpowered,0.98,2,3,0.4,guGi,Bustem,saveeey,MaTaFe,bomez,2016-06-14,2016-09-12
AllGamers,0.99,11,10,0.5238095238095238,HZ,ed101,ayaya,wudixt,ChrisMaQ,2016-06-14,2016-09-12
LowLandLions,0.92,7,12,0.3684210526315789,kajsk1ng,Monu,AaroN,CRUC1AL,robiin,2016-06-14,2016-09-12
ZeroGP,1.19,2,0,1.0,Maden,Gigi,artie,RaDe,Lobanjica,2016-06-14,2016-09-12
Energy Pacemaker,0.85,4,9,0.3076923076923077,dqyks,Waterbaby,York,KTWO,astro1,2016-06-14,2016-09-12
TRIDENT,0.71,0,2,0.0,DANZ,RequieM,m1tch,XPL,BlackouT,2016-06-14,2016-09-12
Belgium,1.39,2,0,1.0,YOUYOU,to1nou,Ex6TenZ,Davidp,NpK,2016-06-14,2016-09-12
Estonia,1.02,6,4,0.6,ropz,fejtZ,cheti,SamVan,HS,2016-06-14,2016-09-12
KoN Sweden,1.23,5,1,0.8333333333333334,limp,RuStY,Barken,hampus,powerputte,2016-06-14,2016-09-12
Born Of Fire,1.00,20,21,0.4878048780487805,Artill,bottle,333ed2k,ryk,muziwei,2016-06-14,2016-09-12
Finland,1.05,3,1,0.75,arvid,ZOREE,xseveN,miksu,suNny,2016-06-14,2016-09-12
LOCALG,0.68,0,1,0.0,AMD,MAUSEN,spat1ch,enk,topstop,2016-06-14,2016-09-12
Innova,0.90,6,13,0.3157894736842105,tt,chelo,NEKIZ,iDk,peonzoid,2016-06-14,2016-09-12
Nexus,0.76,1,2,0.3333333333333333,BTN,nJ,r1d3r,REAL,j0der,2016-06-14,2016-09-12
Defying Gravity,0.55,0,1,0.0,furiSLAYER,Ark3M,Diray,clax,ex4mple,2016-06-14,2016-09-12
Planetkey,0.85,0,4,0.0,tow b,OKOLICIOUZ,jenson,syken,LyGHT,2016-06-14,2016-09-12
Russia,1.00,2,3,0.4,hooch,WorldEdit,Dosia,electronic,spaze,2016-06-14,2016-09-12
Turkey,1.17,9,3,0.75,Calyx,woxic,paz,XANTARES,mini,2016-06-14,2016-09-12
Rogue,0.97,7,10,0.4117647058823529,HS,TENZKI,Maniac,glace,cadiaN,2016-06-14,2016-09-12
CLG,0.88,6,15,0.2857142857142857,koosta,reltuC,hazed,Subroza,Ethan,2016-06-14,2016-09-12
EHOME,1.10,16,10,0.6153846153846154,Not7,Kymeister,kelele,Richie,Kixerx,2016-06-14,2016-09-12
Netherlands,0.90,1,3,0.25,FASHR,luosrevo,kajsk1ng,mikeS,chrisJ,2016-06-14,2016-09-12
Above the Rest,0.82,1,2,0.3333333333333333,BrN,STANNISLAW,Foreign,sleepy,Bowie$,2016-06-14,2016-09-12
ACE,0.92,3,5,0.375,tiz,vEz,PLAYER1,Subroza,knave,2016-06-14,2016-09-12
TeamOne,1.02,11,11,0.5,Maluk3,bld,AlaNDieg0R,trk,bt0,2016-06-14,2016-09-12
Energy,0.82,2,10,0.16666666666666666,Zeo,kustoM,takbok,FreakY,T.c,2016-06-14,2016-09-12
Denmark,1.17,5,1,0.8333333333333334,MSL,cajunb,k0nfig,Kjaerbye,dupreeh,2016-06-14,2016-09-12
xTc,0.91,8,10,0.4444444444444444,Viking,xiN,Tiaantije,pnd,SandpitTurtle,2016-06-14,2016-09-12
Damage Control,0.88,10,15,0.4,Explicit,stYle,Hellhound,Apocalypse,inciN,2016-06-14,2016-09-12
TEAMYOUCANTBEAT,0.71,0,1,0.0,Ryxxo,hiffer,Lukki,zEptonL,sycrone,2016-06-14,2016-09-12
Complexity,0.91,11,23,0.3235294117647059,dephh,ANDROID,Surreal,witmer,Uber,2016-06-14,2016-09-12
LegendsNeverDie,0.33,0,1,0.0,stb,truth,RashiE,enix,ultra,2016-06-14,2016-09-12
faithIN,0.84,3,6,0.3333333333333333,Urosh,NEAr,skovA,fajkus,Slayness,2016-06-14,2016-09-12
carboN,1.07,15,14,0.5172413793103449,makmuR,flexeeee,HackeM,JT,Fadey,2016-06-14,2016-09-12
LGR,1.02,30,28,0.5172413793103449,ZOREE,xseveN,SAGGERTON,Twista,sAw,2016-06-14,2016-09-12
Dai Dai,0.80,0,6,0.0,minix,ALLE,BRNZ1K,pavel,slv,2016-06-14,2016-09-12
Skyfire,1.05,16,12,0.5714285714285714,krudeN,Kaotik,animus,InJect,junglew0w,2016-06-14,2016-09-12
INTZ,0.84,4,9,0.3076923076923077,gut0,invul,cogu,horvy,KHTEX,2016-06-14,2016-09-12
Millenium,1.04,17,14,0.5483870967741935,MAJ3R,SIXER,xms,mistou,fxy0,2016-06-14,2016-09-12
BLUEJAYS,1.05,4,2,0.6666666666666666,zajp,niLssoN,Cedii,SoMe1,ecfN,2016-06-14,2016-09-12
VwS,0.96,5,6,0.45454545454545453,kalinka,Kvik,lukjjE,TORAS,kreuw,2016-06-14,2016-09-12
ArchAngels,0.93,13,23,0.3611111111111111,quix,fejtZ,downie,DomiNate,zende,2016-06-14,2016-09-12
Iwku,0.95,5,7,0.4166666666666667,mOkEn,rezex,feddan,zehN,acoR,2016-06-14,2016-09-12
DarkPassage,1.03,13,16,0.4482758620689655,Maiko,SasuKe,woxic,Calyx,asmo,2016-06-14,2016-09-12
InFlames,0.89,0,1,0.0,Qulon,etl,Ou7bReaK,norison,NickelBack,2016-06-14,2016-09-12
fnatic Academy,0.93,1,2,0.3333333333333333,PlesseN,Golden,Karus,jayzaR,Bååten,2016-06-14,2016-09-12
VATIC,1.01,2,2,0.5,Peggyyyyy,esio,Immi,smooya,MiGHTYMAX,2016-06-14,2016-09-12
Relentless,0.73,0,1,0.0,mikoz,Kaputiikka,Kaula,miqsusu,Driiveri,2016-06-14,2016-09-12
Singularity,1.02,6,6,0.5,carnees,gade,zEptonL,sycrone,meko,2016-06-14,2016-09-12
Remo Brave,1.04,17,8,0.68,f11,zam,shz,nkzaj,donath,2016-06-14,2016-09-12
Geekunit,0.60,0,1,0.0,b0ychild,zeq,siNde,wusung,notaN,2016-06-14,2016-09-12
CNB,0.93,8,11,0.42105263157894735,spacca,chucky,prd,guerri,ZaMpA,2016-06-14,2016-09-12
LetExerzCarry,0.44,0,2,0.0,TMB,NikoHeiseN,Daffu,W1LD,TeSeS,2016-06-14,2016-09-12
slisk,0.82,1,2,0.3333333333333333,simpe,drasec,ackkee,Luddie,erkenp,2016-06-14,2016-09-12
SkitLite,0.94,0,1,0.0,sergej,joel b,Leaf,rEplan,ociriz,2016-06-14,2016-09-12
iNation,1.22,12,2,0.8571428571428571,soLo,DJOXiC,LETN1,emi,YNk,2016-06-14,2016-09-12
DreamRAR,1.01,6,4,0.6,edge,Time,Haiden,BAYDIR,chahd0nJ,2016-06-14,2016-09-12
TEAM1231,1.06,6,5,0.5454545454545454,HOLMES,DiMKE,k1Ng0r,DEik,m4Rk0,2016-06-14,2016-09-12
Aperture,1.12,14,9,0.6086956521739131,kanii,Konvict,deviaNt,LighteRTZ,takbok,2016-06-14,2016-09-12
Bravado,1.23,27,4,0.8709677419354839,Golz,blackpoisoN,Detrony,ELUSIVE,Sonic,2016-06-14,2016-09-12
Stubborn,1.00,2,2,0.5,Lunix,fuzionGOD,k0bra,Dwn,OxVald,2016-06-14,2016-09-12
GamePub,1.01,4,6,0.4,shev,juricM,nexa,huNter-,Dav,2016-06-14,2016-09-12
Tarantula,0.57,0,1,0.0,elzr,svyat,lma,1uke,AKIMOV,2016-06-14,2016-09-12
EURONICS,0.97,9,11,0.45,dav1dK,ScrunK,oddo,failzzr,threeman,2016-06-14,2016-09-12
WCNL,0.72,0,1,0.0,Zyppe,Lunedi,slajden,MITZAN,b0bbzki,2016-06-14,2016-09-12
EnRo GRIFFINS,0.80,0,2,0.0,haZeyy,Milfshaked,SNIPEEY,DetecteD,P4TriCK,2016-06-14,2016-09-12
Qulity,1.09,1,1,0.5,Stomp,Desert,bodyaN,Krad,sunrise,2016-06-14,2016-09-12
Black Dragons,1.01,13,9,0.5909090909090909,cad,pd,RMN,plx,SpyDaemoN,2016-06-14,2016-09-12
g3x,1.25,24,3,0.8888888888888888,pava,caike,mch,steel,kNgV-,2016-06-14,2016-09-12
Preparation,0.97,18,26,0.4090909090909091,jmqa,arch,crush,El Patron,ub1que,2016-06-14,2016-09-12
Chiefs,1.00,17,25,0.40476190476190477,BURNRUOk,NikkeZ,deStiny,CHRiSOAOW,aliStair,2016-06-14,2016-09-12
Incept,0.92,0,3,0.0,willyKS,Xtinct,majestic,eNvy,Fluent Swede,2016-06-14,2016-09-12
SSU White,0.92,2,3,0.4,Modd,zoid,.K9 ,SWANKY,Jt,2016-06-14,2016-09-12
Winterfox,0.94,12,14,0.46153846153846156,ap0c,emagine,dexter,zewsy,ofnu,2016-06-14,2016-09-12
Blight,0.85,3,8,0.2727272727272727,joshbM,Oderus,Char,real_bM,flashstep,2016-06-14,2016-09-12
Splyce,0.89,5,9,0.35714285714285715,arya,AcilioN,DAVEY,CRUC1AL,Machinegun,2016-06-14,2016-09-12
KoN Norway,0.98,3,5,0.375,riksen,neto,ultra,hk0n,truth,2016-06-14,2016-09-12
Immortals,1.14,33,12,0.7333333333333333,felps,HEN1,boltz,LUCAS1,zews,2016-06-14,2016-09-12
Furious,1.13,6,6,0.5,reversive,Zote,Noktse,guishorro,minimal,2016-06-14,2016-09-12
GODSENT,1.08,20,17,0.5405405405405406,znajder,pronax,KRIMZ,JW,flusha,2016-06-14,2016-09-12
Heavystompers,0.58,0,2,0.0,Jefferson,max,Andrew,frankken,dillion,2016-06-14,2016-09-12
HellRaisers,1.08,23,21,0.5227272727272727,bondik,ANGE1,STYKO,Zero,smike,2016-06-14,2016-09-12
VG.CyberZen,1.13,45,30,0.6,Savage,tb,advent,zhokiNg,LOVEYY,2016-06-14,2016-09-12
subtLe,0.82,0,1,0.0,els,Pollo,hades,jakeMOTM,OCEAN,2016-06-14,2016-09-12
Echo Fox,1.02,27,22,0.5510204081632653,freakazoid,ryx,ShahZaM,seang@res,roca,2016-06-14,2016-09-12
NRG,1.03,11,12,0.4782608695652174,tabseN,ptr,LEGIJA,gob b,FugLy,2016-06-14,2016-09-12
BB,0.93,0,1,0.0,ryann,vanity,FrostayK,tyfoon,MORViD,2016-06-14,2016-09-12
KoN Finland,1.07,4,5,0.4444444444444444,Aerial,KIPSIk,zehN,sergej,yes,2016-06-14,2016-09-12
BigGods,1.13,11,7,0.6111111111111112,tatazin,tifa,dzt,delboNi,land1n,2016-06-14,2016-09-12
OpTic,0.99,16,15,0.5161290322580645,mixwell,NAF,RUSH,daps,stanislaw,2016-06-14,2016-09-12
RED Canids,1.08,4,2,0.6666666666666666,fv,gaabxx,will,lrz,din0,2016-06-14,2016-09-12
PRIDE,0.93,25,48,0.3424657534246575,repo,morelz,EXUS,reatz,SOON,2016-06-14,2016-09-12
frequency,0.71,1,2,0.3333333333333333,nash,JonY BoY,alulu,Nyogen,ZJH,2016-06-14,2016-09-12
SofaKingGood,0.75,0,4,0.0,shams,ShoT_UP,quick,cjb,lowrider,2016-06-14,2016-09-12
SK,1.09,14,8,0.6363636363636364,coldzera,TACO,FalleN,fnx,fer,2016-06-14,2016-09-12
Astralis,1.06,27,25,0.5192307692307693,Xyp9x,device,karrigan,dupreeh,Kjaerbye,2016-06-14,2016-09-12
TYLOO,1.16,34,9,0.7906976744186046,Summer,Attacker,somebody,DD,captainMo,2016-06-14,2016-09-12
Heroic,1.01,17,10,0.6296296296296297,MODDII,gla1ve,valde,Friis,Snappi,2016-06-14,2016-09-12
FaZe,1.03,36,26,0.5806451612903226,rain,jkaem,aizy,kioShiMa,allu,2016-06-14,2016-09-12
PENTA,1.06,37,33,0.5285714285714286,kRYSTAL,tahsiN,loWel,mikeS,Kairi,2016-06-14,2016-09-12
Parallax,1.10,22,13,0.6285714285714286,LONSDALE,yellow,RaZ,Hatz,jokes,2016-06-14,2016-09-12
Legacy,0.88,9,15,0.375,DevK,marto,white,gotz,HaZ,2016-06-14,2016-09-12
TRS,0.89,2,5,0.2857142857142857,Straka,coMplot,otto,nch,nbl,2016-06-14,2016-09-12
Force of Nature,1.05,4,3,0.5714285714285714,raizen,Tio,Proxure,L!nKz^,FiReMaNNN,2016-06-14,2016-09-12
ENCORE,0.93,3,2,0.6,tomsku,xartE,disturbed,REFLEX,KHRN,2016-06-14,2016-09-12
ALTERNATE aTTaX,1.03,48,34,0.5853658536585366,tiziaN,keev,kzy,syrsoN,crisby,2016-06-14,2016-09-12
Dark Sided,0.93,1,3,0.25,sibe,busta,GENESIS,oxey,Beaan,2016-06-14,2016-09-12
onestop,1.15,7,2,0.7777777777777778,seth,pecks,CHRiSOAOW,mizu,kyoto,2016-06-14,2016-09-12
XPC,1.04,9,8,0.5294117647058824,sXe,SEMINTE,WHitE,cosmeeeN,XELLOW,2016-06-14,2016-09-12
Sneaky Assasins,0.88,1,2,0.3333333333333333,Steej,FaSHo,pzK!D,pili,Se3ker,2016-06-14,2016-09-12
Shadows,0.80,1,3,0.25,FANAT ROCKA,It's my,balblna,uNdo,moonsh1n3,2016-06-14,2016-09-12
The Burgermen,0.76,0,1,0.0,Takita,MOZAIC,discap,exe,Catalyst,2016-06-14,2016-09-12
elixe4,0.93,0,1,0.0,krudeN,Kaotik,animus,InJect,NikkeZ,2016-06-14,2016-09-12
plusvee,0.92,0,1,0.0,jokes,ferg,MoeycQ,IcemaN,nova,2016-06-14,2016-09-12
NokSuKao,0.98,9,14,0.391304347826087,liTTle,electronic,kUcheR,spaz,chopper,2016-06-14,2016-09-12
exitto,0.94,1,2,0.3333333333333333,lols,ironiK,f3r,daigo,Juanu,2016-06-14,2016-09-12
Kung Fu Masters,0.72,0,2,0.0,MPAK,parade,PerfectL,4egi,kalashz0r,2016-06-14,2016-09-12
Magnum Monsters,1.07,2,1,0.6666666666666666,Faja,NIKKO,xud,cloker,restikk,2016-06-14,2016-09-12
Refuse,1.04,3,4,0.42857142857142855,MOLSI,LTN,lunAtic,sany,mono,2016-06-14,2016-09-12
MK,1.11,47,22,0.6811594202898551,v1c7oR,nkl,spyleadeR,bubble,dream3r,2016-06-14,2016-09-12
CHAOS,0.86,2,2,0.5,Aikas,Carcass,haflex,Butters,Atikas,2016-06-14,2016-09-12
MVP Project,1.07,25,13,0.6578947368421053,Argency,XigN,HSK,Sound,rindA,2016-06-14,2016-09-12
walkover,0.92,3,3,0.5,dragonfly,torben,who,crackii,stavn,2016-06-14,2016-09-12
Natus Vincere,1.12,19,9,0.6785714285714286,flamie,seized,Edward,GuardiaN,Zeus,2016-06-14,2016-09-12
ANOX,0.88,9,13,0.4090909090909091,hitMouse,jR,dERZKIY,facecrack,Lk-,2016-06-14,2016-09-12
eSuba,0.86,7,20,0.25925925925925924,HenkkyG,benq1,MonttY,BLUEE,KAPARZO,2016-06-14,2016-09-12
Spirit,1.07,70,43,0.6194690265486725,S0tF1k,COLDYY1,Dima,DavCost,tonyblack,2016-06-14,2016-09-12
ENCE,0.95,23,31,0.42592592592592593,suNny,juho,naSu,xartE,allu,2016-06-14,2016-09-12
Virtus.pro,1.06,28,13,0.6829268292682927,TaZ,NEO,Snax,byali,pashaBiceps,2016-06-14,2016-09-12
Tengri,1.10,11,6,0.6470588235294118,Hobbit,keeN,fitch,dastan,Ramz1kBO$$,2016-06-14,2016-09-12
deadweight,0.96,2,2,0.5,ztk,zEVES,cromen,becker,cENTRYZ,2016-06-14,2016-09-12
GODSENT Academy,0.55,0,1,0.0,Limpone,KamrateN,kASI,shrew,Ericip,2016-06-14,2016-09-12
fnatic,1.09,25,12,0.6756756756756757,olofmeister,dennis,flusha,JW,KRIMZ,2016-06-14,2016-09-12
Kinguin,1.10,48,32,0.6,mouz,MICHU,SZPERO,innocent,MINISE,2016-06-14,2016-09-12
FMESPORTS,0.75,0,1,0.0,Puls3,nEiLZiNHo,pt,hudzG,Boaster,2016-06-14,2016-09-12
mousesports,0.96,21,21,0.5,chrisJ,denis,Spiidi,NiKo,nex,2016-06-14,2016-09-12
Space Soldiers,1.07,55,33,0.625,ngiN,XANTARES,paz,DESPE,TuGuX,2016-06-14,2016-09-12
Epiphany Bolt,0.99,15,15,0.5,PAINT,aNdz,KORN,kalle,Polly,2016-06-14,2016-09-12
Dynasty,1.13,2,3,0.4,hirakuza,pablinka,leazo,arieldidi,brian,2016-06-14,2016-09-12
Tricked,1.03,41,34,0.5466666666666666,HUNDEN,niko,JUGi,Inzta,PERCY,2016-06-14,2016-09-12
Envy,1.05,24,16,0.6,Happy,apEX,kennyS,DEVIL,NBK-,2016-06-14,2016-09-12
KoN Denmark,0.77,3,4,0.42857142857142855,Remoy,Kolibrien,Clark,Brathe Ø,Crispy,2016-06-14,2016-09-12
Renegades,1.04,12,11,0.5217391304347826,AZR,USTILO,jks,Rickeh,yam,2016-06-14,2016-09-12
Funky Monkeys,0.82,0,1,0.0,exzU,YDNA,goa,waffe,HUGHMUNGUS,2016-06-14,2016-09-12
Germany,0.80,0,2,0.0,tiziaN,tahsiN,kzy,stfN,keev,2016-09-12,2016-12-11
Norway,0.93,1,2,0.3333333333333333,Skurk,rain,jkaem,Polly,kalle,2016-09-12,2016-12-11
eUnited,0.80,3,13,0.1875,shinobi,cJ,a2z,vice,Marved,2016-06-14,2016-09-12
Denial,0.59,0,2,0.0,flowsicK,Xp3,Spitfire,anger,SKYTTEN,2016-06-14,2016-09-12
Selfless,1.00,15,18,0.45454545454545453,mitch,Nifty,Brehze,kaboose,no_one,2016-06-14,2016-09-12
RONIN,0.98,2,4,0.3333333333333333,cheK,MAKKA,emode,Dallas,miKnutty,2016-06-14,2016-09-12
paiN,0.91,3,6,0.3333333333333333,s1,LuL4,zqkS,dukeN,KILLDREAM,2016-06-14,2016-09-12
Bee's Money Crew,1.30,4,2,0.6666666666666666,WARDELL,neptune,vSa,bee,seb,2016-06-14,2016-09-12
Vault,0.84,2,3,0.4,crux,GRAMPZ,jcrueL,MAiNLiNE,CONNOR93,2016-06-14,2016-09-12
NiP,1.04,24,16,0.6,Xizt,GeT_RiGhT,friberg,f0rest,pyth,2016-06-14,2016-09-12
G2,1.07,25,16,0.6097560975609756,SmithZz,bodyy,shox,ScreaM,RpK,2016-06-14,2016-09-12
Epsilon,1.08,55,35,0.6111111111111112,draken,disco doplan,REZ,freddieb,xelos,2016-06-14,2016-09-12
FlipSid3,0.87,15,33,0.3125,markeloff,wayLander,B1ad3,Shara,WorldEdit,2016-06-14,2016-09-12
Gambit,0.98,31,32,0.49206349206349204,hooch,mou,AdreN,Dosia,spaze,2016-06-14,2016-09-12
Friends,1.24,4,0,1.0,k0RsAr,v1c7oR,dream3r,nkl,bubble,2016-06-14,2016-09-12
Cloud9,1.18,43,14,0.7543859649122807,Skadoodle,n0thing,Stewie2K,shroud,autimatic,2016-06-14,2016-09-12
HEADSHOTBG,0.96,3,6,0.3333333333333333,Geko,shEMETA,minko,MILENK0,pNshr,2016-06-14,2016-09-12
Bpro,1.08,10,5,0.6666666666666666,psycho,niki1,NK4Y,AFFICHKO,xek,2016-06-14,2016-09-12
ImbaTV,1.62,1,0,1.0,117,aiwa,xixi,sakula,alex,2016-06-14,2016-09-12
SL Talents,0.62,0,1,0.0,ReDeYe,YNk,sL4M,natu,strike,2016-06-14,2016-09-12
Grinny Bankers,0.92,3,5,0.375,BASS,flickz,nez,mswag,Texta,2016-06-14,2016-09-12
Athletico,1.02,34,20,0.6296296296296297,sonic,InfrequeNt,Liazz,chuch,wizard,2016-06-14,2016-09-12
Immunity,1.16,7,4,0.6363636363636364,deStiny,BURNRUOk,Gratisfaction,James,gazR,2016-06-14,2016-09-12
AVANT,1.03,19,13,0.59375,zedzke,Noisia,sK,Dezibel,IyeN,2016-06-14,2016-09-12
WinFiction,0.84,2,5,0.2857142857142857,Partodis,SPELLAN,CeRq,acl,Rock1nG,2016-06-14,2016-09-12
Dignitas,1.03,37,33,0.5285714285714286,MSL,cajunb,k0nfig,Magisk,RUBINO,2016-06-14,2016-09-12
passions,1.01,7,10,0.4117647058823529,limp,RuStY,Barken,hampus,powerputte,2016-06-14,2016-09-12
Insomnia,0.88,1,2,0.3333333333333333,ruin,Strong Legs,djay,MtE,AGN,2016-06-14,2016-09-12
Real Street Gamers,0.96,2,2,0.5,FGB,karbon,ak-nY,Fighter,roca,2016-06-14,2016-09-12
Prospects,0.95,7,11,0.3888888888888889,JoshRT,Drone,sayonara,aproto,RIKO,2016-06-14,2016-09-12
The Legends,0.76,0,1,0.0,LiFeCrusheR,cottonball,Jonji,shen,vanity,2016-09-12,2016-12-11
Descend,0.83,0,1,0.0,Spirit,tacitus,Lord,Trainer,Aidan,2016-09-12,2016-12-11
Bee's Money Crew,1.59,3,0,1.0,WARDELL,neptune,vSa,bee,seb,2016-09-12,2016-12-11
KNR,0.89,1,3,0.25,destru,Luz,mynio,dArk,NEEX,2016-09-12,2016-12-11
Finland,1.05,3,2,0.6,suNny,allu,jOELZ,arvid,miksu,2016-09-12,2016-12-11
Blight,0.54,0,2,0.0,Oderus,flashstep,Char,draWsouL,aproto,2016-09-12,2016-12-11
5b0rk4,0.70,0,2,0.0,poizon,Payne,LefteriY,blocker,SHiPZ,2016-09-12,2016-12-11
