Name,KD,Wins,Losses,Winning_Percentage,Player_1,Player_2,Player_3,Player_4,Player_5,Start_Date,End_Date
Complexity,0.98,20,30,0.4,dephh,ANDROID,Surreal,desi,Slemmy,2017-03-11,2017-06-09
NRG,1.00,37,39,0.4868421052631579,Brehze,ptr,daps,FugLy,LILMAN,2017-03-11,2017-06-09
G2,1.11,56,22,0.717948717948718,kennyS,NBK-,bodyy,shox,apEX,2017-03-11,2017-06-09
Virtus.pro,0.85,14,38,0.2692307692307692,TaZ,NEO,Snax,byali,pashaBiceps,2017-03-11,2017-06-09
Luminosity,1.01,41,39,0.5125,yel,PKL,SHOOWTiME,shz,DeStiNy,2017-03-11,2017-06-09
ExAequo,0.93,1,2,0.3333333333333333,Nembo,bardOZ,omega,Stylahhhhh,forbiddeN,2017-06-09,2017-09-07
Nexus,1.20,53,22,0.7066666666666667,BTN,sXe,cosmeeeN,XELLOW,jaxi,2017-03-11,2017-06-09
ex-Fury,1.09,1,1,0.5,brky,guGi,Bustem,saveeey,st0Le,2017-03-11,2017-06-09
ALTERNATE aTTaX,0.92,16,27,0.37209302325581395,tiziaN,crisby,ecfN,syrsoN,stfN,2017-03-11,2017-06-09
FaZe,1.07,38,22,0.6333333333333333,NiKo,rain,allu,karrigan,kioShiMa,2017-03-11,2017-06-09
mousesports,0.99,27,26,0.5094339622641509,chrisJ,loWel,oskar,denis,ropz,2017-03-11,2017-06-09
Skjuta Hess,0.83,1,2,0.3333333333333333,Kallberg,wiggan,Garfield,LRK,AdamW,2017-06-09,2017-09-07
Spirit Academy,1.04,9,7,0.5625,1uke,NickelBack,rommi,fenvicious,BAS,2017-03-11,2017-06-09
Tengri,1.04,33,22,0.6,Ramz1kBO$$,pachanga,fitch,SNk,sonic,2017-03-11,2017-06-09
PopcornPlokker$,0.70,0,2,0.0,VORTEX,epok,Awien,NIBBE,LBNS,2017-06-09,2017-09-07
iGame.com,0.97,35,28,0.5555555555555556,ZOREE,xseveN,SAGGERTON,sAw,juho,2017-03-11,2017-06-09
Dignitas,0.98,17,22,0.4358974358974359,fox,jkaem,RUBINO,TENZKI,cromen,2017-03-11,2017-06-09
BIG,1.03,46,26,0.6388888888888888,tabseN,LEGIJA,keev,nex,gob b,2017-03-11,2017-06-09
LGD,0.93,17,35,0.3269230769230769,dmm,gas,Sideny,k1nchiNs,kikoff,2017-03-11,2017-06-09
ViCi,1.15,59,28,0.6781609195402298,advent,zhokiNg,aumaN,Freeman,JeXeN,2017-03-11,2017-06-09
UYA,0.99,39,31,0.5571428571428572,forget,QKA,xiaosaGe,Stevie,Not7,2017-03-11,2017-06-09
Eclipse,1.08,9,7,0.5625,shuadapai,bottle,ayaya,ryk,ed101,2017-03-11,2017-06-09
Athletico,0.97,22,21,0.5116279069767442,SnypeR,NikkeZ,zedzke,jokes,IyeN,2017-03-11,2017-06-09
Funkd,0.98,1,1,0.5,jokes,yellow,eLUSIVE,p00chy,soju_j,2017-03-11,2017-06-09
