Date,Team1,Team2,Map,Team1_Win,Team2_Win
2016-08-27,Tricked,Rogue,Nuke,1,0
2016-08-27,Rogue,Tricked,Train,1,0
2016-08-27,ALTERNATE aTTaX,ENCE,Dust2,1,0
2016-08-27,Singularity,Heroic,Train,0,1
2016-08-27,Heroic,Singularity,Nuke,1,0
2016-08-27,Space Soldiers,DarkPassage,Dust2,1,0
2016-08-27,DarkPassage,Space Soldiers,Cache,1,0
2016-08-27,Space Soldiers,DarkPassage,Mirage,1,0
2016-08-27,g3x,MK,Cache,1,0
2016-08-27,Crowns,Pnda,Mirage,1,0
2016-08-27,Chiefs,ENCE,Cache,0,1
2016-08-27,Chosen5,Bravado,Train,0,1
2016-08-27,Chosen5,Bravado,Cache,0,1
2016-08-27,Astralis,Heroic,Dust2,1,0
2016-08-27,Heroic,Astralis,Cobblestone,1,0
2016-08-27,Heroic,Astralis,Overpass,1,0
2016-08-27,Rogue,Dignitas,Mirage,0,1
2016-08-27,Dignitas,Rogue,Cache,0,1
2016-08-27,Dignitas,Rogue,Cobblestone,1,0
2016-08-27,Pnda,MK,Train,0,1
2016-08-27,ALTERNATE aTTaX,Echo Fox,Cache,1,0
2016-08-27,OpTic,TSM,Mirage,1,0
2016-08-27,OpTic,TSM,Cobblestone,1,0
2016-08-27,Crowns,g3x,Cache,1,0
2016-08-27,ENCE,Echo Fox,Cache,0,1
2016-08-27,Heroic,Dignitas,Cobblestone,1,0
2016-08-27,Dignitas,Heroic,Dust2,1,0
2016-08-27,Heroic,Dignitas,Mirage,1,0
2016-08-27,MK,g3x,Train,1,0
2016-08-27,Remo Brave,Crashers,Cobblestone,1,0
2016-08-27,Crashers,Remo Brave,Dust2,0,1
2016-08-27,TeamOne,IDM,Dust2,1,0
2016-08-27,IDM,TeamOne,Cache,1,0
2016-08-27,TeamOne,IDM,Cobblestone,1,0
2016-08-27,ProGaming,Furious,Cache,1,0
2016-08-27,ProGaming,Furious,Train,1,0
2016-08-27,Luminosity,Liquid,Mirage,0,1
2016-08-27,Liquid,Luminosity,Cache,1,0
2016-08-28,RED Canids,Dai Dai,Mirage,1,0
2016-08-28,RED Canids,Dai Dai,Cobblestone,1,0
2016-08-28,NRG,Cloud9,Overpass,0,1
2016-08-28,NRG,Cloud9,Cache,0,1
2016-08-28,Black Dragons,CNB,Cobblestone,0,1
2016-08-28,Black Dragons,CNB,Dust2,0,1
2016-08-28,Selfless,Immortals,Cobblestone,0,1
2016-08-28,Immortals,Selfless,Mirage,0,1
2016-08-28,Immortals,Selfless,Cache,1,0
2016-08-28,ALTERNATE aTTaX,MK,Cobblestone,0,1
2016-08-28,ALTERNATE aTTaX,MK,Dust2,1,0
2016-08-28,ALTERNATE aTTaX,MK,Overpass,0,1
2016-08-28,DarkPassage,Chosen5,Cobblestone,1,0
2016-08-28,DarkPassage,Chosen5,Dust2,1,0
2016-08-28,Crowns,Echo Fox,Mirage,1,0
2016-08-28,Crowns,Echo Fox,Dust2,1,0
2016-08-28,Space Soldiers,Bravado,Mirage,1,0
2016-08-28,Space Soldiers,Bravado,Dust2,1,0
2016-08-28,ArchAngels,ANOX,Train,1,0
2016-08-28,Millenium,Kinguin,Mirage,0,1
2016-08-28,Entropy,passions,Train,0,1
2016-08-28,LDLC,HUEHUE,Dust2,0,1
2016-08-28,Just.MSI,Preparation,Mirage,0,1
2016-08-28,Preparation.Yellow,Venko,Dust2,1,0
2016-08-28,ATB,nevermind,Cache,1,0
2016-08-28,passions,ArchAngels,Mirage,0,1
2016-08-28,fnatic Academy,Kinguin,Cache,0,1
2016-08-28,Crowns,MK,Cobblestone,0,1
2016-08-28,MK,Crowns,Inferno,1,0
2016-08-28,ATB,Preparation.Yellow,Cache,1,0
2016-08-28,Preparation,HUEHUE,Mirage,1,0
2016-08-28,ArchAngels,ATB,Train,0,1
2016-08-28,Kinguin,Preparation,Mirage,0,1
2016-08-28,XPC,Infused,Dust2,1,0
2016-08-28,XPC,Infused,Cache,0,1
2016-08-28,XPC,Infused,Cobblestone,0,1
2016-08-28,XPC,Infused,Overpass,1,0
2016-08-28,Preparation,ATB,Mirage,0,1
2016-08-28,Liquid,OpTic,Mirage,1,0
2016-08-28,Liquid,OpTic,Cobblestone,1,0
2016-08-28,TRS,Black Dragons,Mirage,0,1
2016-08-28,TRS,Black Dragons,Dust2,1,0
2016-08-28,TRS,Black Dragons,Cobblestone,1,0
2016-08-28,Immortals,Cloud9,Train,0,1
2016-08-28,Cloud9,Immortals,Overpass,1,0
2016-08-29,Innova,INTZ,Mirage,0,1
2016-08-29,Innova,INTZ,Cache,0,1
2016-08-29,Liquid,Cloud9,Mirage,0,1
2016-08-29,Liquid,Cloud9,Dust2,0,1
2016-08-28,AGG,Team123,Cobblestone,0,1
2016-08-29,Lithuania,Denmark,Mirage,0,1
2016-08-28,Epsilon,somalia,Cache,1,0
2016-08-29,Denmark,Lithuania,Cobblestone,1,0
2016-08-29,PRIDE,Epsilon,Mirage,0,1
2016-08-29,PRIDE,Epsilon,Cache,0,1
2016-08-29,Astralis,Wizards,Cobblestone,1,0
2016-08-29,Astralis,Wizards,Overpass,1,0
2016-08-29,Spirit,Epiphany Bolt,Mirage,1,0
2016-08-29,Epiphany Bolt,Spirit,Cache,0,1
2016-08-29,PENTA,Virtus.pro,Cobblestone,0,1
2016-08-29,Virtus.pro,PENTA,Cache,0,1
2016-08-29,Escape,Gambit,Mirage,0,1
2016-08-29,Escape,Gambit,Train,0,1
2016-08-29,Heroic,GODSENT,Dust2,0,1
